k,probability,numemployees
0.0,0.5613,100.0
1.0,0.0528,100.0
2.0,0.0409,100.0
3.0,0.0306,100.0
4.0,0.0282,100.0
5.0,0.0317,100.0
6.0,0.037,100.0
7.0,0.0403,100.0
8.0,0.042,100.0
9.0,0.0436,100.0
10.0,0.0369,100.0
11.0,0.0274,100.0
12.0,0.0157,100.0
13.0,0.0074,100.0
14.0,0.0028,100.0
15.0,0.0011,100.0
16.0,0.0002,100.0
17.0,0.0,100.0
18.0,0.0001,100.0
19.0,0.0,100.0
20.0,0.0,100.0
0.0,0.5982,200.0
1.0,0.0441,200.0
2.0,0.028,200.0
3.0,0.023,200.0
4.0,0.0215,200.0
5.0,0.022,200.0
6.0,0.0279,200.0
7.0,0.0359,200.0
8.0,0.0444,200.0
9.0,0.0485,200.0
10.0,0.0418,200.0
11.0,0.032,200.0
12.0,0.0181,200.0
13.0,0.0085,200.0
14.0,0.0043,200.0
15.0,0.0017,200.0
16.0,0.0,200.0
17.0,0.0001,200.0
18.0,0.0,200.0
19.0,0.0,200.0
20.0,0.0,200.0
0.0,0.6261,300.0
1.0,0.0272,300.0
2.0,0.0191,300.0
3.0,0.0165,300.0
4.0,0.0182,300.0
5.0,0.0189,300.0
6.0,0.0292,300.0
7.0,0.0349,300.0
8.0,0.0468,300.0
9.0,0.0494,300.0
10.0,0.0397,300.0
11.0,0.0331,300.0
12.0,0.0227,300.0
13.0,0.0119,300.0
14.0,0.004,300.0
15.0,0.0017,300.0
16.0,0.0004,300.0
17.0,0.0001,300.0
18.0,0.0001,300.0
19.0,0.0,300.0
20.0,0.0,300.0
0.0,0.6298,400.0
1.0,0.0272,400.0
2.0,0.0154,400.0
3.0,0.016,400.0
4.0,0.0164,400.0
5.0,0.0171,400.0
6.0,0.0277,400.0
7.0,0.0378,400.0
8.0,0.0422,400.0
9.0,0.0493,400.0
10.0,0.0452,400.0
11.0,0.0339,400.0
12.0,0.0229,400.0
13.0,0.012,400.0
14.0,0.0042,400.0
15.0,0.0024,400.0
16.0,0.0004,400.0
17.0,0.0001,400.0
18.0,0.0,400.0
19.0,0.0,400.0
20.0,0.0,400.0
0.0,0.6267,500.0
1.0,0.0243,500.0
2.0,0.0184,500.0
3.0,0.0143,500.0
4.0,0.0177,500.0
5.0,0.0194,500.0
6.0,0.0259,500.0
7.0,0.0329,500.0
8.0,0.0466,500.0
9.0,0.0474,500.0
10.0,0.0466,500.0
11.0,0.0346,500.0
12.0,0.0249,500.0
13.0,0.0122,500.0
14.0,0.0056,500.0
15.0,0.0022,500.0
16.0,0.0003,500.0
17.0,0.0,500.0
18.0,0.0,500.0
19.0,0.0,500.0
20.0,0.0,500.0
