k,probability,numemployees
0.0,0.3298,100.0
1.0,0.0678,100.0
2.0,0.0805,100.0
3.0,0.1018,100.0
4.0,0.0861,100.0
5.0,0.0701,100.0
6.0,0.0551,100.0
7.0,0.0394,100.0
8.0,0.0352,100.0
9.0,0.0326,100.0
10.0,0.0336,100.0
11.0,0.0261,100.0
12.0,0.0195,100.0
13.0,0.0112,100.0
14.0,0.0061,100.0
15.0,0.0035,100.0
16.0,0.0014,100.0
17.0,0.0002,100.0
18.0,0.0,100.0
19.0,0.0,100.0
20.0,0.0,100.0
0.0,0.3619,200.0
1.0,0.0488,200.0
2.0,0.0789,200.0
3.0,0.0922,200.0
4.0,0.0842,200.0
5.0,0.0651,200.0
6.0,0.0492,200.0
7.0,0.0363,200.0
8.0,0.0281,200.0
9.0,0.0293,200.0
10.0,0.0345,200.0
11.0,0.0312,200.0
12.0,0.0244,200.0
13.0,0.0183,200.0
14.0,0.0099,200.0
15.0,0.0052,200.0
16.0,0.0019,200.0
17.0,0.0006,200.0
18.0,0.0,200.0
19.0,0.0,200.0
20.0,0.0,200.0
0.0,0.3679,300.0
1.0,0.0512,300.0
2.0,0.0789,300.0
3.0,0.0937,300.0
4.0,0.0822,300.0
5.0,0.0671,300.0
6.0,0.0444,300.0
7.0,0.0321,300.0
8.0,0.0274,300.0
9.0,0.03,300.0
10.0,0.0283,300.0
11.0,0.0296,300.0
12.0,0.0255,300.0
13.0,0.021,300.0
14.0,0.0115,300.0
15.0,0.0061,300.0
16.0,0.0022,300.0
17.0,0.0007,300.0
18.0,0.0002,300.0
19.0,0.0,300.0
20.0,0.0,300.0
0.0,0.3747,400.0
1.0,0.0483,400.0
2.0,0.072,400.0
3.0,0.0886,400.0
4.0,0.0891,400.0
5.0,0.0662,400.0
6.0,0.0444,400.0
7.0,0.0303,400.0
8.0,0.0252,400.0
9.0,0.0251,400.0
10.0,0.0299,400.0
11.0,0.0295,400.0
12.0,0.0281,400.0
13.0,0.0223,400.0
14.0,0.0152,400.0
15.0,0.0073,400.0
16.0,0.003,400.0
17.0,0.0005,400.0
18.0,0.0003,400.0
19.0,0.0,400.0
20.0,0.0,400.0
0.0,0.3794,500.0
1.0,0.0464,500.0
2.0,0.0781,500.0
3.0,0.0899,500.0
4.0,0.0852,500.0
5.0,0.0638,500.0
6.0,0.0415,500.0
7.0,0.0311,500.0
8.0,0.0277,500.0
9.0,0.0248,500.0
10.0,0.0275,500.0
11.0,0.0306,500.0
12.0,0.0271,500.0
13.0,0.0223,500.0
14.0,0.0128,500.0
15.0,0.0081,500.0
16.0,0.0028,500.0
17.0,0.0008,500.0
18.0,0.0001,500.0
19.0,0.0,500.0
20.0,0.0,500.0
