k,probability,numemployees
0.0,0.0103,100.0
1.0,0.03,100.0
2.0,0.0376,100.0
3.0,0.0442,100.0
4.0,0.0475,100.0
5.0,0.0447,100.0
6.0,0.0433,100.0
7.0,0.0504,100.0
8.0,0.051,100.0
9.0,0.0505,100.0
10.0,0.0524,100.0
11.0,0.0563,100.0
12.0,0.0583,100.0
13.0,0.0574,100.0
14.0,0.0599,100.0
15.0,0.0571,100.0
16.0,0.0521,100.0
17.0,0.0547,100.0
18.0,0.0471,100.0
19.0,0.0952,100.0
20.0,0.0,100.0
0.0,0.0085,200.0
1.0,0.0247,200.0
2.0,0.0382,200.0
3.0,0.0408,200.0
4.0,0.0397,200.0
5.0,0.0465,200.0
6.0,0.0476,200.0
7.0,0.0438,200.0
8.0,0.0504,200.0
9.0,0.0489,200.0
10.0,0.0523,200.0
11.0,0.057,200.0
12.0,0.0596,200.0
13.0,0.0549,200.0
14.0,0.0582,200.0
15.0,0.0561,200.0
16.0,0.0588,200.0
17.0,0.056,200.0
18.0,0.0567,200.0
19.0,0.1013,200.0
20.0,0.0,200.0
0.0,0.0082,300.0
1.0,0.0274,300.0
2.0,0.0364,300.0
3.0,0.0391,300.0
4.0,0.0437,300.0
5.0,0.0424,300.0
6.0,0.046,300.0
7.0,0.0446,300.0
8.0,0.0489,300.0
9.0,0.0525,300.0
10.0,0.0518,300.0
11.0,0.0532,300.0
12.0,0.0555,300.0
13.0,0.0596,300.0
14.0,0.057,300.0
15.0,0.0597,300.0
16.0,0.0572,300.0
17.0,0.0566,300.0
18.0,0.0593,300.0
19.0,0.1009,300.0
20.0,0.0,300.0
0.0,0.0086,400.0
1.0,0.0256,400.0
2.0,0.0366,400.0
3.0,0.0377,400.0
4.0,0.0435,400.0
5.0,0.0441,400.0
6.0,0.0482,400.0
7.0,0.0513,400.0
8.0,0.05,400.0
9.0,0.0507,400.0
10.0,0.0491,400.0
11.0,0.0552,400.0
12.0,0.0558,400.0
13.0,0.0581,400.0
14.0,0.0562,400.0
15.0,0.0582,400.0
16.0,0.0562,400.0
17.0,0.0553,400.0
18.0,0.0604,400.0
19.0,0.0992,400.0
20.0,0.0,400.0
0.0,0.0072,500.0
1.0,0.0269,500.0
2.0,0.0361,500.0
3.0,0.0402,500.0
4.0,0.04,500.0
5.0,0.0455,500.0
6.0,0.0481,500.0
7.0,0.0452,500.0
8.0,0.0498,500.0
9.0,0.0538,500.0
10.0,0.0517,500.0
11.0,0.0531,500.0
12.0,0.055,500.0
13.0,0.0559,500.0
14.0,0.057,500.0
15.0,0.056,500.0
16.0,0.0538,500.0
17.0,0.0592,500.0
18.0,0.0592,500.0
19.0,0.1063,500.0
20.0,0.0,500.0
