k,probability,numemployees
0.0,0.5572,100.0
1.0,0.0573,100.0
2.0,0.0401,100.0
3.0,0.0328,100.0
4.0,0.0288,100.0
5.0,0.0316,100.0
6.0,0.0386,100.0
7.0,0.0425,100.0
8.0,0.0442,100.0
9.0,0.0407,100.0
10.0,0.0349,100.0
11.0,0.0255,100.0
12.0,0.0155,100.0
13.0,0.0074,100.0
14.0,0.0022,100.0
15.0,0.0005,100.0
16.0,0.0001,100.0
17.0,0.0,100.0
18.0,0.0001,100.0
19.0,0.0,100.0
20.0,0.0,100.0
0.0,0.5953,200.0
1.0,0.0377,200.0
2.0,0.0261,200.0
3.0,0.0238,200.0
4.0,0.0219,200.0
5.0,0.0229,200.0
6.0,0.0282,200.0
7.0,0.0418,200.0
8.0,0.0469,200.0
9.0,0.047,200.0
10.0,0.0408,200.0
11.0,0.0328,200.0
12.0,0.0189,200.0
13.0,0.0099,200.0
14.0,0.0047,200.0
15.0,0.0009,200.0
16.0,0.0004,200.0
17.0,0.0,200.0
18.0,0.0,200.0
19.0,0.0,200.0
20.0,0.0,200.0
0.0,0.613,300.0
1.0,0.0319,300.0
2.0,0.0215,300.0
3.0,0.0188,300.0
4.0,0.0181,300.0
5.0,0.0194,300.0
6.0,0.0284,300.0
7.0,0.0373,300.0
8.0,0.0461,300.0
9.0,0.0474,300.0
10.0,0.0473,300.0
11.0,0.0329,300.0
12.0,0.0202,300.0
13.0,0.0121,300.0
14.0,0.0044,300.0
15.0,0.001,300.0
16.0,0.0001,300.0
17.0,0.0001,300.0
18.0,0.0,300.0
19.0,0.0,300.0
20.0,0.0,300.0
0.0,0.615,400.0
1.0,0.0257,400.0
2.0,0.0181,400.0
3.0,0.0184,400.0
4.0,0.0179,400.0
5.0,0.0215,400.0
6.0,0.0242,400.0
7.0,0.0347,400.0
8.0,0.0494,400.0
9.0,0.0504,400.0
10.0,0.0444,400.0
11.0,0.0362,400.0
12.0,0.024,400.0
13.0,0.0128,400.0
14.0,0.0052,400.0
15.0,0.0017,400.0
16.0,0.0004,400.0
17.0,0.0,400.0
18.0,0.0,400.0
19.0,0.0,400.0
20.0,0.0,400.0
0.0,0.6369,500.0
1.0,0.0243,500.0
2.0,0.0172,500.0
3.0,0.0139,500.0
4.0,0.0138,500.0
5.0,0.0161,500.0
6.0,0.0255,500.0
7.0,0.0356,500.0
8.0,0.0444,500.0
9.0,0.0514,500.0
10.0,0.0441,500.0
11.0,0.037,500.0
12.0,0.0216,500.0
13.0,0.0103,500.0
14.0,0.0057,500.0
15.0,0.0016,500.0
16.0,0.0004,500.0
17.0,0.0002,500.0
18.0,0.0,500.0
19.0,0.0,500.0
20.0,0.0,500.0
