k,probability,numemployees
0.0,0.3409,100.0
1.0,0.1036,100.0
2.0,0.1208,100.0
3.0,0.1193,100.0
4.0,0.0973,100.0
5.0,0.0643,100.0
6.0,0.038,100.0
7.0,0.0262,100.0
8.0,0.0202,100.0
9.0,0.0185,100.0
10.0,0.0201,100.0
11.0,0.0125,100.0
12.0,0.0104,100.0
13.0,0.0052,100.0
14.0,0.0017,100.0
15.0,0.0007,100.0
16.0,0.0002,100.0
17.0,0.0001,100.0
18.0,0.0,100.0
19.0,0.0,100.0
20.0,0.0,100.0
0.0,0.3563,200.0
1.0,0.094,200.0
2.0,0.1086,200.0
3.0,0.1233,200.0
4.0,0.0986,200.0
5.0,0.0712,200.0
6.0,0.0377,200.0
7.0,0.0242,200.0
8.0,0.0195,200.0
9.0,0.0189,200.0
10.0,0.0159,200.0
11.0,0.0166,200.0
12.0,0.0078,200.0
13.0,0.0046,200.0
14.0,0.0021,200.0
15.0,0.0006,200.0
16.0,0.0001,200.0
17.0,0.0,200.0
18.0,0.0,200.0
19.0,0.0,200.0
20.0,0.0,200.0
0.0,0.3483,300.0
1.0,0.0953,300.0
2.0,0.1119,300.0
3.0,0.1179,300.0
4.0,0.0975,300.0
5.0,0.0698,300.0
6.0,0.0414,300.0
7.0,0.0264,300.0
8.0,0.0185,300.0
9.0,0.0204,300.0
10.0,0.017,300.0
11.0,0.0148,300.0
12.0,0.0114,300.0
13.0,0.0052,300.0
14.0,0.003,300.0
15.0,0.0011,300.0
16.0,0.0001,300.0
17.0,0.0,300.0
18.0,0.0,300.0
19.0,0.0,300.0
20.0,0.0,300.0
0.0,0.3543,400.0
1.0,0.0891,400.0
2.0,0.1097,400.0
3.0,0.1193,400.0
4.0,0.1013,400.0
5.0,0.0677,400.0
6.0,0.0378,400.0
7.0,0.025,400.0
8.0,0.0237,400.0
9.0,0.0197,400.0
10.0,0.0183,400.0
11.0,0.0147,400.0
12.0,0.011,400.0
13.0,0.0055,400.0
14.0,0.0017,400.0
15.0,0.0011,400.0
16.0,0.0001,400.0
17.0,0.0,400.0
18.0,0.0,400.0
19.0,0.0,400.0
20.0,0.0,400.0
0.0,0.3433,500.0
1.0,0.0858,500.0
2.0,0.1174,500.0
3.0,0.1195,500.0
4.0,0.1064,500.0
5.0,0.0692,500.0
6.0,0.0407,500.0
7.0,0.0252,500.0
8.0,0.0226,500.0
9.0,0.0199,500.0
10.0,0.0172,500.0
11.0,0.0153,500.0
12.0,0.0085,500.0
13.0,0.0054,500.0
14.0,0.0027,500.0
15.0,0.0004,500.0
16.0,0.0004,500.0
17.0,0.0001,500.0
18.0,0.0,500.0
19.0,0.0,500.0
20.0,0.0,500.0
