owner_login,name,etag
eliben,pyelftools,"W/""7014369a04592116f44bec2b8bc2b095b920c6e86e5af74b4368fba90b1cf55e"""
eliben,pycparser,"W/""0ead10bea552975cf081e71e96aae29ce091561370fc125f7047ed31655ee32c"""
elharo,xom,"W/""653877ea0143112e77ff75f3dab87361c2bcc55c0391b9c48e943e11fefa51c1"""
ericchiang,k8s,"W/""0568f6b92a2db4567bdd5f78ef78d9ec105c39f64c8212b175f79a132104b783"""
ericchiang,pup,"W/""68c744e1d7a3e43e577bb2285d2ea0d08770f93a82a795aa34ceb0b7d6727822"""
farcaller,DashDoc,"W/""faeb38946154c07c6d9a826b2c61e416da49a1778a7604ed120654dc97eb48a8"""
filiph,linkcheck,"W/""bd8d5902c07c3be86ab028e29397eb2a3c8c8a6ccdd7039653823f857292c0d7"""
FiloSottile,yubikey-agent,"W/""0819ae7c2cda07b8f8548ccc9986d1fce99c0fd39c85e0abcf29ebcf0ffb0b7d"""
FiloSottile,Heartbleed,"W/""cbd06d9166b41f4851841a20628cc6b5e0804092995719bbbbc3a20aa668d832"""
FiloSottile,age,"W/""364cc1b3db62f4cfdf878fc9887c3bb2328cd8ee8731a61c5a2c8d1c235939b9"""
FiloSottile,mkcert,"W/""06d0d2bd52b861adc925d001fbb378cfb1215400592670ceafdf20ea1a6466b9"""
gaul,s3proxy,"W/""aa08d2c60df63c4dd7637a1889d3f9982448d41885bf2394d3267f49b9a797d4"""
gaul,modernizer-maven-plugin,"W/""602cc870381877e9003b89ab3f0a41f453c94da78fde461d33b56b9da2909961"""
