owner_login,name,etag
swissspidy,preferred-languages,"W/""bdfae04afac041286a458b07123d29ff23c7b29d993443b5ea8a40b1ff4975e7"""
suyashkumar,dicom,"W/""288eb71a04403254d1717ecdcaa91942f603285d657616b1a6f0c81364b4fb68"""
taycaldwell,riot-api-java,"W/""f39a681c4916b4949d85bf65747e5db3b68c7f9458344bbdb346fa14b78211a9"""
tmrts,boilr,"W/""a81847568214d10dc6449c3d78319c4fd3de4be7b8d995e0d0f5ae94170fafcc"""
tomayac,wikipedia-tools-for-google-spreadsheets,"W/""ec40715e8030c6b8f9ca52612f5af2bb7be9a3afc006ee92f3112bc19d80bce6"""
tpryan,Apptacular,"W/""d8f3a82934e22eba9fa22f4a08a01cb690a9420ae0ebfac88ab0c1526807fb8a"""
vitiral,artifact,"W/""0a3da351658eff11cb855d02e5bd08a5fc0b5e616a901918879f352e07f1e76b"""
walkingeyerobot,r38,"W/""6693c9c4cb84e87fe821a0ab05f89f02612a0e7487b419a8279714e5918429f8"""
wgtdkp,wgtcc,"W/""697df466706800effc83c1cde936b52b89929f69aaaac904321492ffe413e792"""
ymotongpoo,vsc-licenser,"W/""511c4b9f5b660a6dd9700477dbff2154b8d07e2503fddcac862db2c19e243464"""
