owner,repo,etag
philipwalton,flexbugs,"W/""5612e5a00e0dc94e212d3acf0b0f05e0e55a789bf8a226ee744533fa1e7fb8ad"""
philipwalton,solved-by-flexbox,"W/""9bae1aab4999caa67e9da096f984dbf4d3b662f4f2cfe23f479e26cc65fe8854"""
prideout,par,"W/""08871d04f560f9258aaab2534cefbfb7d4a705adb41d26bf6071eded162ecd30"""
ryanmcdermott,clean-code-javascript,"W/""071cc5bb31f5739b0bd39615a884d9f6509a0f39ab7c39e00c2ce804c8d785d5"""
schachmat,wego,"W/""7d716423a36dcd7fdc21813197b1b49cfe4c702477a5adaa68bd54523a7c61cc"""
sebastianbenz,Jnario,"W/""ad9499a3f6f5ffd0217956c3997d14c4ef1eb777bed3c6f3bbabf15b9e2cd948"""
sebastianbenz,eclipse-task-editor,"W/""ee6a9b63028135e1cf9b37df52ceeb3a31f498b9c403b6c6a6c8045a79ed50ea"""
slightlyoff,Promises,"W/""5e0b07c50475956e2e61be5dc5701e7e41e20c3cd05a36f9a52103d4d4673bec"""
stephenmcd,cartridge,"W/""e84333d26c5f3c0a95c3fe1393b47095c96b7ec16fc2b8ee6676981fb03746bc"""
stephenmcd,django-forms-builder,"W/""a05d5c8acfa30668c71964dfccd7470c6970ea2c01fb98af15fcf62e5a4f29b4"""
stephenmcd,django-socketio,"W/""5a0cd8f8b4c6ff2bb215a2280c0d854f12c9fe84cf9beb7d50c73fc78f5a42af"""
stephenmcd,mezzanine,"W/""22992457088ff1c83bcc9265ddcf4bc3ab7e34c36d2bccd66bbf0ace3aaa6928"""
