owner_login,name,etag
philipwalton,flexbugs,"W/""afcb47acae5fc0403fb015e27b4a5287981a11dda073315f61574567b471f939"""
philipwalton,solved-by-flexbox,"W/""b9b6de49b1bb1b34fb99ce09bc6e79f29739bfae7e4ac9fa802f66fcff1cf946"""
prideout,par,"W/""ffd84376f801f2c007b1c4cd7d210160a286c7860b670789970f32c2d6ce1047"""
ryanmcdermott,clean-code-javascript,"W/""49e299bed75a43227a3d676825f305d36ea810a0f75c9ec00989a5fa507bc704"""
schachmat,wego,"W/""ad5b3d392171a26ad642638107a83bd969c38473cb78f7b2ef166e53bb1bdd91"""
sebastianbenz,Jnario,"W/""652702e6cd4c9ce6cd57c1080496b3f5ba867b555335235812551a71c6330cef"""
sebastianbenz,eclipse-task-editor,"W/""420e126f95e8041137774fad1996c0b63eb50a52b74780d211736ee6b3621a2f"""
slightlyoff,Promises,"W/""de3babfa259652f02e55a130c4daca8ab7f02f00cbb60436f603a6662dc2300d"""
stephenmcd,cartridge,"W/""c3cea5b0b93a4aeee16af61385fcfa9fe224105338a53a61390559d74f42ee68"""
stephenmcd,django-forms-builder,"W/""37650205f0c534fba1b2ac6ed57e2936c614610828b8c3746d805050848de9d8"""
stephenmcd,django-socketio,"W/""903437a14a9f67c0116ff7ce39111a42ab504933fa0679d8ae891abcecde5eec"""
stephenmcd,mezzanine,"W/""f3ff83151fd9d0b9e7c42447d2b89d69e5cb36cf89142ffb8937315e76083736"""
