owner,repo,etag
emgarten,Sleet,"W/""62f05fac33d087a2c29032b661fdfe69af615342f14d69d342051249f691eea4"""
formulahendry,955.WLB,"W/""65d28dcc8237c82bff34c4436b8685f8948fb51a2fa6fec2e04a6c6db886839c"""
formulahendry,vscode-mysql,"W/""85c57a4f6513f833c5e2fcb98908ed4af506e24628668e7dd1b0a3e9fa6c0a67"""
formulahendry,vscode-auto-close-tag,"W/""1ea24326825c677db8d6f2c0a7ee9261f2adfbc1b55be796a1eb64f99db52138"""
hbons,SparkleShare,"W/""32bec9f53f13d54cc38d1112a942b4fde9fa7b081d968b3ffa36a0d329190ab5"""
hidroh,materialistic,"W/""c8091c31d82273dd53e45a1593e2fd3f3b37c933431c519009d5945e529cdf2b"""
Hirse,brackets-outline-list,"W/""6bd01637206a26e9303f9d1d334ece58ce5498c9b8bf5f6c4eb622d79986eb13"""
hoovercj,vscode-ghc-mod,"W/""c9c261e21855c65e751ffb441e11423c8ad58f62909cd9085af741713f6c641e"""
hoovercj,vscode-power-mode,"W/""9f28792b3ce55bd0ef46bb0ede66441fba9c6e387c5e37ad7ef809b999d71dc6"""
hufman,AndroidAutoIdrive,"W/""7b4afd209763e975af511532a1de28a1663d1fa99c48f94ca675f6cd0c21d919"""
hufman,vgmdb,"W/""7e4fa436393a12c511e97ad12d663b7281fad9596e10ec68893a889f1a061601"""
