owner,repo,etag
mgechev,revive,"W/""1268062a428c1b5f8e13469586fcc4584ce25bbce2311ec9e90e3865f3704370"""
mgechev,angular-seed,"W/""d6e5a2b4214b67394505759ae1e722426dfae471ff49d79d67564693f2eccb32"""
mgechev,javascript-algorithms,"W/""704a99932b623af7ed309f260058a102012a4c00addf04e1692baf900e635917"""
mihnita,ansi-econsole,"W/""cd5ff7b9a4bec13e6f2f2fc74af0d8f8ffa981a72442ad110408144bb37606f6"""
natebosch,vim-lsc,"W/""c072dc685643d4cdf5545d648a65d44173053b20d0a117d6c8e6c9ba4788d060"""
NeilFraser,JS-Interpreter,"W/""c24d1dd633bce426c80942a8b0edd61f91c7b5fc73289a1dbb90bdbe114c3b30"""
nickdesaulniers,node-nanomsg,"W/""2d42f2dc4fd3818b7cc3a57c409e0c920dc9e2ab4f6775bd4feedff5641c4a71"""
NicholasAzar,ng-selectize,"W/""d71048d295f00adcdd64b1a234b02c1dc0e5ad7eb40df9d1e2d5fe782d49c3e9"""
nixprime,cpsm,"W/""2c9ac26856cd0f551739368007c6cfe87a237920174c4cd174f8cb9d3620449d"""
not-an-aardvark,snoowrap,"W/""d01e849a179051a87623ab5eec9be8b4a8c18550c130bfd0be82a905757bd190"""
paulirish,git-open,"W/""aaaba9c1bc42f6d11e8c4a169c15d5315ee7a8a5ade4e3850dfd22beb170263a"""
PierfrancescoSoffritti,android-youtube-player,"W/""815fce446554c3f1791963a5d6125253940eb73874fe138fa87217a43a809749"""
