issue_id,id
738672829,1478800
655334437,1478800
579559197,1478800
566490420,116461
563469852,12738587
555039345,1478800
553043921,1478800
549975924,1478800
549360816,1478800
548376928,116461
548349971,12738587
544793392,1478800
544032954,1478800
543565840,1478800
543288429,1478800
543069432,1478800
543064533,1478800
542654061,1478800
541566232,1478800
534618214,1478800
533762301,1478800
530510855,1478800
530065434,1478800
529688051,1478800
774555629,116461
771285424,116461
771285201,116461
32178985,627280
1856653,627280
1414717,627280
780731899,248078
468758426,248078
1756482,248078
1575072,248078
54987410,98681
16516122,150421
11667311,150421
11667153,150421
11271106,150421
11269209,150421
11269067,150421
11201852,150421
11016536,150421
