owner_login,name,etag
laserlemon,figaro,"W/""6b9bc31bb269575f7e56a93fc5599369308b8dcab6e2890d32a5f8f9594c3e30"""
lostintangent,gistpad,"W/""ba9743370a3066152c880fce33f0152af3ceb3aaa497dbaaad5aff5fc641d3b8"""
lostintangent,codeswing,"W/""37e65de932d2f0f233b922eb06190b5b646637e75f7e4d365352b47ff95e62c6"""
lildude,phpSmug,"W/""566944b17e064345e167569931e862407c962e12b8a9ffedf1291b0640a82698"""
lgarron,clipboard-polyfill,"W/""94853bc7d99239ec41fe1b54f6a123a078739479f7aa30302c8dbfee5f3d8ca1"""
lgarron,folderify,"W/""18896d692c67990918157622ae2ee941e89b59c0618dec00cee1ba433390ad8c"""
mdo,code-guide,"W/""84934a46b84084dca9d87f9e365f4d7cbc5ad9045a4a60c223de396ac039ce61"""
mdo,github-buttons,"W/""ee393b47aea9015a09e8f40b1e01aae2414ae2aa1492358e1c9079cade5d0572"""
lvivski,start,"W/""7c8581cdaa82bd8ca84bf1c46ecd279adb4f6c817596dc7d2f59dcd125a203b3"""
lvivski,animatic,"W/""e530a82ca7377c1b34f1f7a43145025d6d0a7ea71fa6801d77dbc5672c3a7bd6"""
