owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,performed_via_github_app,rename_from,rename_to,lock_reason,label_name,label_color,milestone,review_requester_id,requested_reviewer_id,assignee_id,assigner_id,events_url,commit_url
mdo,code-guide,29371867,101766823,MDExOk1lcmdlZEV2ZW50MTAxNzY2ODIz,https://api.github.com/repos/mdo/code-guide/issues/events/101766823,98681,merged,e68249f4d44fe8c85b6b49e80c78ff5d80048091,2014-03-13T18:05:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/65/events,https://api.github.com/repos/mdo/code-guide/commits/e68249f4d44fe8c85b6b49e80c78ff5d80048091
mdo,code-guide,29371867,101766825,MDExOkNsb3NlZEV2ZW50MTAxNzY2ODI1,https://api.github.com/repos/mdo/code-guide/issues/events/101766825,98681,closed,NA,2014-03-13T18:05:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/65/events,NA
mdo,code-guide,29371867,101767080,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQxMDE3NjcwODA=,https://api.github.com/repos/mdo/code-guide/issues/events/101767080,395073,head_ref_deleted,NA,2014-03-13T18:05:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/65/events,NA
mdo,code-guide,29340893,102356712,MDE1OlJlZmVyZW5jZWRFdmVudDEwMjM1NjcxMg==,https://api.github.com/repos/mdo/code-guide/issues/events/102356712,98681,referenced,4ff232588252cbd6aa3defaf8803391ef541b5f8,2014-03-16T01:26:49Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/64/events,https://api.github.com/repos/mdo/code-guide/commits/4ff232588252cbd6aa3defaf8803391ef541b5f8
mdo,code-guide,29340893,102356713,MDExOk1lcmdlZEV2ZW50MTAyMzU2NzEz,https://api.github.com/repos/mdo/code-guide/issues/events/102356713,98681,merged,4ff232588252cbd6aa3defaf8803391ef541b5f8,2014-03-16T01:26:49Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/64/events,https://api.github.com/repos/mdo/code-guide/commits/4ff232588252cbd6aa3defaf8803391ef541b5f8
mdo,code-guide,29340893,102356714,MDExOkNsb3NlZEV2ZW50MTAyMzU2NzE0,https://api.github.com/repos/mdo/code-guide/issues/events/102356714,98681,closed,NA,2014-03-16T01:26:49Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/64/events,NA
mdo,code-guide,29261806,104539204,MDExOkNsb3NlZEV2ZW50MTA0NTM5MjA0,https://api.github.com/repos/mdo/code-guide/issues/events/104539204,98681,closed,cbb15af51044d29043d4d8c9b65dd2c9a667cd23,2014-03-22T23:52:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/63/events,https://api.github.com/repos/mdo/code-guide/commits/cbb15af51044d29043d4d8c9b65dd2c9a667cd23
mdo,code-guide,29238273,101148047,MDExOkNsb3NlZEV2ZW50MTAxMTQ4MDQ3,https://api.github.com/repos/mdo/code-guide/issues/events/101148047,98681,closed,NA,2014-03-12T06:31:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/62/events,NA
mdo,code-guide,29238273,109249269,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQxMDkyNDkyNjk=,https://api.github.com/repos/mdo/code-guide/issues/events/109249269,716935,head_ref_deleted,NA,2014-04-07T12:20:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/62/events,NA
mdo,code-guide,29237500,101134361,MDE0Ok1lbnRpb25lZEV2ZW50MTAxMTM0MzYx,https://api.github.com/repos/mdo/code-guide/issues/events/101134361,33087,mentioned,NA,2014-03-12T04:44:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/61/events,NA
mdo,code-guide,29237500,101134362,MDE1OlN1YnNjcmliZWRFdmVudDEwMTEzNDM2Mg==,https://api.github.com/repos/mdo/code-guide/issues/events/101134362,33087,subscribed,NA,2014-03-12T04:44:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/61/events,NA
mdo,code-guide,29237500,101134880,MDE0Ok1lbnRpb25lZEV2ZW50MTAxMTM0ODgw,https://api.github.com/repos/mdo/code-guide/issues/events/101134880,33087,mentioned,NA,2014-03-12T04:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/61/events,NA
mdo,code-guide,29237500,101134881,MDE1OlN1YnNjcmliZWRFdmVudDEwMTEzNDg4MQ==,https://api.github.com/repos/mdo/code-guide/issues/events/101134881,33087,subscribed,NA,2014-03-12T04:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/61/events,NA
mdo,code-guide,29237500,104465189,MDE0Ok1lbnRpb25lZEV2ZW50MTA0NDY1MTg5,https://api.github.com/repos/mdo/code-guide/issues/events/104465189,5153378,mentioned,NA,2014-03-22T05:58:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/61/events,NA
mdo,code-guide,29237500,104465190,MDE1OlN1YnNjcmliZWRFdmVudDEwNDQ2NTE5MA==,https://api.github.com/repos/mdo/code-guide/issues/events/104465190,5153378,subscribed,NA,2014-03-22T05:58:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/61/events,NA
mdo,code-guide,29237500,104541196,MDExOkNsb3NlZEV2ZW50MTA0NTQxMTk2,https://api.github.com/repos/mdo/code-guide/issues/events/104541196,98681,closed,5a858b605be7075c5aa7dfda27fb7cfbbfa498f3,2014-03-23T00:26:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/61/events,https://api.github.com/repos/mdo/code-guide/commits/5a858b605be7075c5aa7dfda27fb7cfbbfa498f3
