owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,label_name,label_color,performed_via_github_app,assignee_id,assigner_id,rename_from,rename_to,review_requester_id,requested_reviewer_id,milestone,events_url,commit_url
eljog,agileboard-ui,825183010,4424981725,MDExOk1lcmdlZEV2ZW50NDQyNDk4MTcyNQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424981725,15967687,merged,93ec59b13fe99169c32aa77b30634aceb63be15d,2021-03-09T03:30:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/51/events,https://api.github.com/repos/eljog/agileboard-ui/commits/93ec59b13fe99169c32aa77b30634aceb63be15d
eljog,agileboard-ui,825183010,4424981730,MDExOkNsb3NlZEV2ZW50NDQyNDk4MTczMA==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424981730,15967687,closed,NA,2021-03-09T03:30:05Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/51/events,NA
eljog,agileboard-ui,825183010,4424982172,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0NDI0OTgyMTcy,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424982172,49699333,head_ref_deleted,NA,2021-03-09T03:30:12Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/51/events,NA
eljog,agileboard-ui,780092997,4173617901,MDEyOkxhYmVsZWRFdmVudDQxNzM2MTc5MDE=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4173617901,49699333,labeled,NA,2021-01-06T06:08:12Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/50/events,NA
eljog,agileboard-ui,780092997,4424987156,MDIzOkhlYWRSZWZGb3JjZVB1c2hlZEV2ZW50NDQyNDk4NzE1Ng==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424987156,49699333,head_ref_force_pushed,NA,2021-03-09T03:31:26Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/50/events,NA
eljog,agileboard-ui,780092997,4424988878,MDE1OlJlZmVyZW5jZWRFdmVudDQ0MjQ5ODg4Nzg=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424988878,15967687,referenced,010f11685000b3bb1763f74dad12ee78ace923f0,2021-03-09T03:31:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/50/events,https://api.github.com/repos/eljog/agileboard-ui/commits/010f11685000b3bb1763f74dad12ee78ace923f0
eljog,agileboard-ui,780092997,4424988881,MDExOk1lcmdlZEV2ZW50NDQyNDk4ODg4MQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424988881,15967687,merged,010f11685000b3bb1763f74dad12ee78ace923f0,2021-03-09T03:31:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/50/events,https://api.github.com/repos/eljog/agileboard-ui/commits/010f11685000b3bb1763f74dad12ee78ace923f0
eljog,agileboard-ui,780092997,4424988890,MDExOkNsb3NlZEV2ZW50NDQyNDk4ODg5MA==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424988890,15967687,closed,NA,2021-03-09T03:31:54Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/50/events,NA
eljog,agileboard-ui,780092997,4424989411,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0NDI0OTg5NDEx,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424989411,49699333,head_ref_deleted,NA,2021-03-09T03:32:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/50/events,NA
eljog,agileboard-ui,695384035,3738358138,MDEyOkxhYmVsZWRFdmVudDM3MzgzNTgxMzg=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/3738358138,49699333,labeled,NA,2020-09-07T20:47:31Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/49/events,NA
