issue_id,id
448095820,170430
125979354,170430
830806367,22536460
764069468,22536460
726980853,22536460
682141624,22536460
651855489,22536460
647397622,22536460
488969786,22536460
479929410,22536460
479003219,5158738
446439035,5158738
446439035,22536460
443970167,22536460
434337654,22536460
434337654,36851745
408579658,22536460
406111082,22536460
406107460,22536460
405154796,8445510
401270358,22536460
401265784,22536460
401010938,36851745
353656183,22536460
572181164,4821
266504279,4821
218677384,4821
207838651,841949
846069439,4392252
499854885,4392252
486072001,4392252
486027091,4392252
484700472,4392252
344225781,4392252
588777554,2193314
273180466,2193314
219642505,2193314
219641152,2193314
219390215,2193314
219389547,2193314
217614809,2193314
217614728,2193314
217614434,2193314
54684497,1176280
52102420,1176280
48768446,1176280
32695923,1176280
17563547,1176280
16441805,1176280
16292797,1176280
15759543,1176280
15639115,1176280
14672759,1176280
14482697,1176280
14482687,1176280
14482636,1176280
14482625,1176280
14482616,1176280
252954830,3621290
243780574,3621290
220800694,3621290
192215210,7450378
192213933,7450378
137876410,3621290
137343987,3621290
118691476,3621290
117996244,3621290
117894740,3621290
91429249,3621290
476550646,20684720
844173569,8788631
839203284,8788631
822896290,8788631
808582340,8788631
795049556,8788631
790018084,8788631
781545014,8788631
758903722,8788631
757449543,8788631
757080876,8788631
753535714,8788631
745481169,8788631
728067506,8788631
723541094,8788631
719374341,8788631
716127038,8788631
707481402,8788631
700553103,8788631
683373308,8788631
682553605,8788631
678331790,8788631
665563400,8788631
658369853,8788631
654637564,8788631
652766594,8788631
648271427,8788631
648141457,8788631
639064164,8788631
637577203,8788631
625861605,8788631
617686600,8788631
613291059,8788631
610542470,8788631
567902993,8788631
566871569,8788631
561544598,8788631
561533417,8788631
559302144,8788631
555013618,8788631
555006499,8788631
549988542,8788631
541025466,8788631
539933382,8788631
524486293,8788631
511970939,8788631
493589118,8788631
492681435,8788631
482326004,8788631
481822678,8788631
473339030,8788631
464467381,8788631
460359441,8788631
456759817,8788631
455133481,8788631
447391178,8788631
439994950,8788631
439699801,8788631
428331261,8788631
411669262,8788631
410844573,8788631
403995994,8788631
395158611,8788631
388737033,8788631
388023076,8788631
383593607,8788631
383381663,8788631
376933531,8788631
376209498,8788631
371941980,8788631
355655786,8788631
352147111,8788631
350936499,8788631
347930852,8788631
331178247,8788631
329018454,8788631
326661321,8788631
326611707,8788631
326151825,8788631
324498498,8788631
323591237,8788631
322809002,8788631
322804087,8788631
321716651,8788631
321617961,8788631
308298866,8788631
304010489,8788631
299256232,8788631
298256101,8788631
291389730,8788631
288875102,8788631
287036207,8788631
282157278,8788631
275871118,8788631
204776243,8788631
858653574,8788631
852378653,8788631
838818147,8788631
832642246,8788631
814823602,8788631
812038310,8788631
752109036,8788631
747516832,8788631
737312023,8788631
727697897,8788631
722964768,8788631
721273802,8788631
721242518,8788631
691809206,8788631
679444008,8788631
678307478,8788631
673400175,8788631
653271608,8788631
648374580,8788631
639914260,8788631
638915559,8788631
634732661,8788631
631637187,8788631
624645317,8788631
614535377,8788631
611494094,8788631
606398510,8788631
603300926,8788631
603048305,8788631
600595633,8788631
576996099,8788631
575965869,8788631
556957946,8788631
552895402,8788631
545579071,8788631
545455190,8788631
533254346,8788631
529215484,8788631
522496319,8788631
522231422,8788631
512471995,8788631
500703329,8788631
500527029,8788631
497633436,8788631
487520394,8788631
486154234,8788631
480348268,8788631
478911219,8788631
472749807,8788631
472178590,8788631
471660956,8788631
469830315,8788631
455135663,8788631
434815029,8788631
428642281,8788631
424827497,8788631
414867428,8788631
401011644,8788631
400320626,8788631
400317688,8788631
396652093,8788631
390359623,8788631
387198410,8788631
381198893,8788631
370470652,8788631
369637385,8788631
358938551,8788631
357136899,8788631
353837568,8788631
352483308,8788631
350421056,8788631
348728704,8788631
348511379,8788631
340920799,8788631
333259377,8788631
328619188,8788631
315351209,8788631
311569486,8788631
308382909,8788631
305545149,8788631
299626241,8788631
296903688,8788631
296041381,8788631
295753518,8788631
294540082,8788631
294388663,8788631
293406589,8788631
293346244,8788631
293070701,8788631
289263512,8788631
287431746,8788631
287286935,8788631
283830720,8788631
282350488,8788631
281767149,8788631
281003277,8788631
279565066,8788631
278045124,8788631
277325195,8788631
277294306,8788631
273994872,8788631
269230233,8788631
266833188,8788631
262515798,8788631
257201025,8788631
254319997,8788631
252011406,8788631
239460069,8788631
239359551,8788631
237243818,8788631
229442284,8788631
224491565,8788631
