"Michigan State University
Office of the Registrar",,,,,,,,,,,,,,
Students by Major - Graduate,,,,,,,,,,,,,,
FALL 2005,,,,,,,,,,,,,,
,,,Total Students,,,,Masters,,,,Doctoral,,,
,,,Total,Women,Men,,Total,Women,Men,,Total,Women,Men,
Agriculture and Natural Resources,,,,,,,,,,,,,,
  Theatre,0972,MA,9,5,4,,9,5,4,,0,0,0,
  Theatre,0979,MFA,5,3,2,,5,3,2,,0,0,0,
  American Studies,1002,PHD,35,19,16,,0,0,0,,35,19,16,
  Music Performance,1008,MMUS,46,29,17,,46,29,17,,0,0,0,
  Music Performance,1009,DMA,106,60,46,,0,0,0,,106,60,46,
  Music Conducting,1014,MMUS,7,3,4,,7,3,4,,0,0,0,
  Music Conducting,1015,DMA,22,3,19,,0,0,0,,22,3,19,
  Critical Stdy in Teach of Engl,1016,MA,3,2,1,,3,2,1,,0,0,0,
  Literature in English,1017,MA,9,7,2,,9,7,2,,0,0,0,
  Music Composition,1021,DMA,14,5,9,,0,0,0,,14,5,9,
  Piano Pedagogy,1027,MMUS,2,2,0,,2,2,0,,0,0,0,
  German Studies,1028,MA,10,8,2,,10,8,2,,0,0,0,
  German Studies,1029,PHD,3,2,1,,0,0,0,,3,2,1,
  African American & African Std,1044,PHD,14,9,5,,0,0,0,,14,9,5,
  Tch Eng to Speakers Other Lang,1049,MA,34,29,5,,34,29,5,,0,0,0,
  Rhetoric and Writing,5600,PHD,22,14,8,,0,0,0,,22,14,8,
  Digital Rhetoric &Prof Writing,5601,MA,11,9,2,,11,9,2,,0,0,0,
  Hispanic Literatures,5614,MA,6,6,0,,6,6,0,,0,0,0,
  Hispanic Cultural Studies,5615,PHD,17,9,8,,0,0,0,,17,9,8,
  Applied Spanish Linguistics,5616,MA,7,5,2,,7,5,2,,0,0,0,
  Second Language Studies,5642,PHD,11,6,5,,0,0,0,,11,6,5,
  Critical Stdy-Lit and Pedagogy,5643,MA,6,4,2,,6,4,2,,0,0,0,
  Arts and Letters Total,,,703,410,293,,256,173,83,,447,237,210,
