k,probability,timeamount
169.0,0.000755,200.0
170.0,0.00075,200.0
171.0,0.00065,200.0
172.0,0.0007,200.0
173.0,0.00066,200.0
174.0,0.000695,200.0
175.0,0.000635,200.0
176.0,0.00062,200.0
177.0,0.00056,200.0
178.0,0.00062,200.0
179.0,0.000545,200.0
180.0,0.00058,200.0
181.0,0.00064,200.0
182.0,0.00064,200.0
183.0,0.00051,200.0
184.0,0.00063,200.0
185.0,0.000595,200.0
186.0,0.00071,200.0
187.0,0.000585,200.0
188.0,0.000555,200.0
189.0,0.00054,200.0
190.0,0.0006,200.0
191.0,0.000585,200.0
192.0,0.000615,200.0
193.0,0.000615,200.0
194.0,0.000635,200.0
195.0,0.00066,200.0
196.0,0.000735,200.0
197.0,0.000945,200.0
198.0,0.00118,200.0
199.0,0.005705,200.0
200.0,0.0,200.0
