owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,label_name,label_color,performed_via_github_app,assignee_id,assigner_id,rename_from,rename_to,review_requester_id,requested_reviewer_id,milestone,events_url,commit_url
brianlovin,security-checklist,749412705,4031167933,MDEyOkxhYmVsZWRFdmVudDQwMzExNjc5MzM=,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4031167933,49699333,labeled,NA,2020-11-24T07:13:47Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/events,NA
brianlovin,security-checklist,749412705,4031167954,MDEzOkFzc2lnbmVkRXZlbnQ0MDMxMTY3OTU0,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4031167954,1923260,assigned,NA,2020-11-24T07:13:47Z,NA,NA,NA,1923260,49699333,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/events,NA
brianlovin,security-checklist,749412705,4031168115,MDEzOkRlcGxveWVkRXZlbnQ0MDMxMTY4MTE1,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4031168115,35613825,deployed,NA,2020-11-24T07:13:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/events,NA
brianlovin,security-checklist,749412705,4033336795,MDE1OlJlZmVyZW5jZWRFdmVudDQwMzMzMzY3OTU=,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4033336795,1923260,referenced,96ff6b096aaeb257e185c5d623c79d6d1656afa8,2020-11-24T15:13:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/events,https://api.github.com/repos/brianlovin/security-checklist/commits/96ff6b096aaeb257e185c5d623c79d6d1656afa8
brianlovin,security-checklist,749412705,4033336804,MDExOk1lcmdlZEV2ZW50NDAzMzMzNjgwNA==,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4033336804,1923260,merged,96ff6b096aaeb257e185c5d623c79d6d1656afa8,2020-11-24T15:13:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/events,https://api.github.com/repos/brianlovin/security-checklist/commits/96ff6b096aaeb257e185c5d623c79d6d1656afa8
brianlovin,security-checklist,749412705,4033336822,MDExOkNsb3NlZEV2ZW50NDAzMzMzNjgyMg==,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4033336822,1923260,closed,NA,2020-11-24T15:13:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/events,NA
brianlovin,security-checklist,749412705,4033336908,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0MDMzMzM2OTA4,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4033336908,1923260,head_ref_deleted,NA,2020-11-24T15:13:09Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/667/events,NA
brianlovin,security-checklist,749341041,4030807354,MDEyOkxhYmVsZWRFdmVudDQwMzA4MDczNTQ=,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4030807354,49699333,labeled,NA,2020-11-24T04:55:19Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/666/events,NA
brianlovin,security-checklist,749341041,4030807361,MDEzOkFzc2lnbmVkRXZlbnQ0MDMwODA3MzYx,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4030807361,1923260,assigned,NA,2020-11-24T04:55:19Z,NA,NA,NA,1923260,49699333,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/666/events,NA
brianlovin,security-checklist,749341041,4030807459,MDEzOkRlcGxveWVkRXZlbnQ0MDMwODA3NDU5,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4030807459,35613825,deployed,NA,2020-11-24T04:55:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/666/events,NA
brianlovin,security-checklist,749341041,4030940388,MDE1OlJlZmVyZW5jZWRFdmVudDQwMzA5NDAzODg=,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4030940388,1923260,referenced,958ed0bf2424cb94df5eaea07b0d71a0ddfb6e86,2020-11-24T05:55:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/666/events,https://api.github.com/repos/brianlovin/security-checklist/commits/958ed0bf2424cb94df5eaea07b0d71a0ddfb6e86
brianlovin,security-checklist,749341041,4030940391,MDExOk1lcmdlZEV2ZW50NDAzMDk0MDM5MQ==,https://api.github.com/repos/brianlovin/security-checklist/issues/events/4030940391,1923260,merged,958ed0bf2424cb94df5eaea07b0d71a0ddfb6e86,2020-11-24T05:55:25Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/brianlovin/security-checklist/issues/666/events,https://api.github.com/repos/brianlovin/security-checklist/commits/958ed0bf2424cb94df5eaea07b0d71a0ddfb6e86
