owner,repo,etag
brianlovin,security-checklist,"W/""ca9ec9fa0342b0749780069cb819b2bc47d4ad17467c2c46a0016007297f95a7"""
BlakeWilliams,Elixir-Slack,"W/""86f4a23a4c30a49531492bf88fb46dcc7f4b3e06c53dfcff9374b55c8d70e102"""
BinaryMuse,fluxxor,"W/""48d3fcb7a21dc65ac82b46f68dede1f98ad5dcda1908ac15003619395f5665c0"""
cheshire137,competiwatch-desktop,"W/""617737c755ae665ca60aa2fb35ff993247beff067b60ae1d5814eaeddcf7c74b"""
cheshire137,soma-chrome,"W/""31bad5ac8a8526ecd38bab77dc28cf242a788617f4421e52835c859690bf6c97"""
bswinnerton,launchbar-github,"W/""d8fa47fd081f5dca9b7a67c5804c66324deda196c3924ad6ea4b1fdda3894b5a"""
cschleiden,vscode-github-actions,"W/""696b322802c607bf4af05d6de048e33c400b4b988b42830f0836aa8ef4c4eb7f"""
cholick,idea-spock-enhancements,"W/""6910e0bbc45fa20f5fecd5659d34185b979cdedb1068ff54241e9135e3753c1c"""
dcreager,libcork,"W/""09b00a7711353ce02d941d25ca99a862c614016daaae103708f9f668acf191ba"""
