k,probability
0,0.6166
1,0.0327
2,0.0213
3,0.0192
4,0.0207
5,0.0212
6,0.027
7,0.0327
8,0.0425
9,0.0479
10,0.0449
11,0.0347
12,0.0216
13,0.0112
14,0.0038
15,0.0017
16,0.0002
17,0.0001
18,0.0
19,0.0
20,0.0
