k,probability
0,0.3686
1,0.052
2,0.0754
3,0.0945
4,0.0872
5,0.0671
6,0.0453
7,0.0324
8,0.0273
9,0.0269
10,0.0291
11,0.0291
12,0.0239
13,0.0185
14,0.0141
15,0.0052
16,0.0027
17,0.0006
18,0.0
19,0.0001
20,0.0
