k,probability
0,0.0081
1,0.0281
2,0.0321
3,0.0435
4,0.041
5,0.0467
6,0.0435
7,0.0486
8,0.0514
9,0.05
10,0.0539
11,0.0548
12,0.0483
13,0.0567
14,0.0573
15,0.0577
16,0.059
17,0.0564
18,0.0592
19,0.1037
20,0.0
