k,probability
0,0.3368
1,0.0403
2,0.0314
3,0.0303
4,0.0292
5,0.0342
6,0.0419
7,0.0508
8,0.0644
9,0.0656
10,0.0667
11,0.0564
12,0.042
13,0.0333
14,0.022
15,0.0171
16,0.012
17,0.0122
18,0.0084
19,0.005
20,0.0
