k,probability
0,0.0087
1,0.0242
2,0.039
3,0.0406
4,0.0455
5,0.046
6,0.0473
7,0.0445
8,0.0449
9,0.0527
10,0.0513
11,0.0551
12,0.0552
13,0.0544
14,0.0537
15,0.0567
16,0.0566
17,0.0557
18,0.0563
19,0.1116
20,0.0
