k,probability
0,0.3562
1,0.0843
2,0.1109
3,0.1186
4,0.1055
5,0.0648
6,0.0421
7,0.0237
8,0.0196
9,0.0199
10,0.0199
11,0.0156
12,0.0093
13,0.0064
14,0.0021
15,0.0007
16,0.0004
17,0.0
18,0.0
19,0.0
20,0.0
