k,probability
0,0.3589
1,0.0496
2,0.0743
3,0.0943
4,0.0894
5,0.0677
6,0.0486
7,0.0311
8,0.0274
9,0.0282
10,0.0325
11,0.0274
12,0.0292
13,0.0184
14,0.0114
15,0.0072
16,0.0035
17,0.0008
18,0.0001
19,0.0
20,0.0
