k,probability
0,0.3689
1,0.0499
2,0.0743
3,0.0907
4,0.0932
5,0.065
6,0.0435
7,0.0348
8,0.0251
9,0.028
10,0.0296
11,0.0274
12,0.0266
13,0.0196
14,0.0125
15,0.0072
16,0.0035
17,0.0
18,0.0002
19,0.0
20,0.0
