k,probability
0,0.3572
1,0.0842
2,0.1117
3,0.1213
4,0.1015
5,0.0663
6,0.04
7,0.0284
8,0.0202
9,0.0197
10,0.0179
11,0.0141
12,0.01
13,0.0044
14,0.0019
15,0.0011
16,0.0001
17,0.0
18,0.0
19,0.0
20,0.0
