k,probability
0,0.3578
1,0.0908
2,0.1096
3,0.1175
4,0.1064
5,0.0649
6,0.0391
7,0.0228
8,0.0192
9,0.0208
10,0.0187
11,0.0148
12,0.0098
13,0.0049
14,0.0021
15,0.0007
16,0.0001
17,0.0
18,0.0
19,0.0
20,0.0
