k,probability
0,0.0296
1,0.0442
2,0.0501
3,0.059
4,0.0519
5,0.0576
6,0.0585
7,0.0587
8,0.0559
9,0.057
10,0.0561
11,0.0589
12,0.0619
13,0.0598
14,0.0693
15,0.0702
16,0.0524
17,0.0325
18,0.0118
19,0.0046
20,0.0
