k,probability
0,0.3167
1,0.0847
2,0.0943
3,0.1009
4,0.093
5,0.074
6,0.0499
7,0.0436
8,0.0357
9,0.0321
10,0.0279
11,0.02
12,0.0149
13,0.0082
14,0.0029
15,0.0009
16,0.0003
17,0.0
18,0.0
19,0.0
20,0.0
