k,probability
0,0.6153
1,0.0316
2,0.0229
3,0.0176
4,0.0174
5,0.0211
6,0.0255
7,0.0369
8,0.0448
9,0.0495
10,0.0454
11,0.0331
12,0.0232
13,0.0102
14,0.0044
15,0.0009
16,0.0002
17,0.0
18,0.0
19,0.0
20,0.0
