k,probability
0,0.6304
1,0.0309
2,0.0195
3,0.0172
4,0.017
5,0.0204
6,0.0298
7,0.0347
8,0.0452
9,0.0443
10,0.04
11,0.035
12,0.0187
13,0.0105
14,0.0042
15,0.0013
16,0.0008
17,0.0001
18,0.0
19,0.0
20,0.0
