k,probability
0,0.4694
1,0.0739
2,0.0601
3,0.0565
4,0.0505
5,0.0516
6,0.0473
7,0.0445
8,0.0463
9,0.0337
10,0.0273
11,0.0197
12,0.011
13,0.005
14,0.0019
15,0.0009
16,0.0004
17,0.0
18,0.0
19,0.0
20,0.0
