k,probability
0,0.6074
1,0.0319
2,0.02
3,0.0196
4,0.0166
5,0.0209
6,0.031
7,0.0358
8,0.0468
9,0.0509
10,0.0448
11,0.0341
12,0.0233
13,0.0117
14,0.0034
15,0.0014
16,0.0004
17,0.0
18,0.0
19,0.0
20,0.0
