k,probability
0,0.6484
1,0.0593
2,0.0556
3,0.0506
4,0.0405
5,0.0236
6,0.0122
7,0.0053
8,0.002
9,0.0005
10,0.0009
11,0.0022
12,0.0039
13,0.0092
14,0.0163
15,0.0228
16,0.0217
17,0.0154
18,0.0079
19,0.0017
20,0.0
