"freqs","n","perc","org"
0,758,0.212324929971989,"Google"
0.1,286,0.0801120448179272,"Google"
0.2,224,0.0627450980392157,"Google"
0.3,177,0.0495798319327731,"Google"
0.4,184,0.0515406162464986,"Google"
0.5,138,0.038655462184874,"Google"
0.6,175,0.0490196078431373,"Google"
0.7,208,0.0582633053221289,"Google"
0.8,327,0.0915966386554622,"Google"
0.9,345,0.0966386554621849,"Google"
1,748,0.20952380952381,"Google"
