degree,degree_id,degree_level,total,file,term,year,term_numeric,time
College of Arts-Philosophy,0893,PHD,22,spring2001.xlsx,spring,2001,0,21
College of Arts-Philosophy,0893,PHD,11,summer2001.xlsx,summer,2001,1,22
College of Arts-Philosophy,0893,PHD,26,fall2001.xlsx,fall,2001,2,23
College of Arts-Philosophy,0893,PHD,27,spring2002.xlsx,spring,2002,0,24
College of Arts-Philosophy,0893,PHD,14,summer2002.xlsx,summer,2002,1,25
College of Arts-Philosophy,0893,PHD,29,fall2002.xlsx,fall,2002,2,26
College of Arts-Philosophy,0893,PHD,27,spring2003.xlsx,spring,2003,0,27
College of Arts-Philosophy,0893,PHD,13,summer2003.xlsx,summer,2003,1,28
College of Arts-Philosophy,0893,PHD,21,fall2003.xlsx,fall,2003,2,29
College of Arts-Philosophy,0893,PHD,19,spring2004.xlsx,spring,2004,0,30
College of Arts-Philosophy,0893,PHD,14,summer2004.xlsx,summer,2004,1,31
College of Arts-Philosophy,0893,PHD,24,fall2004.xlsx,fall,2004,2,32
College of Arts-Philosophy,0893,PHD,23,spring2005.xlsx,spring,2005,0,33
College of Arts-Philosophy,0893,PHD,11,summer2005.xlsx,summer,2005,1,34
College of Arts-Philosophy,0893,PHD,34,fall2005.xlsx,fall,2005,2,35
College of Arts-Philosophy,0893,PHD,34,spring2006.xlsx,spring,2006,0,36
College of Arts-Philosophy,0893,PHD,21,summer2006.xlsx,summer,2006,1,37
College of Arts-Philosophy,0893,PHD,42,fall2006.xlsx,fall,2006,2,38
College of Arts-Philosophy,0893,PHD,41,spring2007.xlsx,spring,2007,0,39
College of Arts-Philosophy,0893,PHD,23,summer2007.xlsx,summer,2007,1,40
College of Arts-Philosophy,0893,PHD,42,fall2007.xlsx,fall,2007,2,41
College of Arts-Philosophy,0893,PHD,42,spring2008.xlsx,spring,2008,0,42
College of Arts-Philosophy,0893,PHD,20,summer2008.xlsx,summer,2008,1,43
College of Arts-Philosophy,0893,PHD,43,fall2008.xlsx,fall,2008,2,44
College of Arts-Philosophy,0893,PHD,41,spring2009.xlsx,spring,2009,0,45
College of Arts-Philosophy,0893,PHD,20,summer2009.xlsx,summer,2009,1,46
College of Arts-Philosophy,0893,PHD,40,fall2009.xlsx,fall,2009,2,47
College of Arts-Philosophy,0893,PHD,39,spring2010.xlsx,spring,2010,0,48
College of Arts-Philosophy,0893,PHD,17,summer2010.xlsx,summer,2010,1,49
College of Arts-Philosophy,0893,PHD,42,fall2010.xlsx,fall,2010,2,50
College of Arts-Philosophy,0893,PHD,40,spring2011.xlsx,spring,2011,0,51
College of Arts-Philosophy,0893,PHD,20,summer2011.xlsx,summer,2011,1,52
College of Arts-Philosophy,0893,PHD,42,fall2011.xlsx,fall,2011,2,53
College of Arts-Philosophy,0893,PHD,41,spring2012.xlsx,spring,2012,0,54
College of Arts-Philosophy,0893,PHD,25,summer2012.xlsx,summer,2012,1,55
College of Arts-Philosophy,0893,PHD,45,fall2012.xlsx,fall,2012,2,56
College of Arts-Philosophy,0893,PHD,38,spring2013.xlsx,spring,2013,0,57
College of Arts-Philosophy,0893,PHD,17,summer2013.xlsx,summer,2013,1,58
College of Arts-Philosophy,0893,PHD,40,fall2013.xlsx,fall,2013,2,59
College of Arts-Philosophy,0893,PHD,35,spring2014.xlsx,spring,2014,0,60
College of Arts-Philosophy,0893,PHD,14,summer2014.xlsx,summer,2014,1,61
College of Arts-Philosophy,0893,PHD,36,fall2014.xlsx,fall,2014,2,62
College of Arts-Philosophy,0893,PHD,37,spring2015.xlsx,spring,2015,0,63
College of Arts-Philosophy,0893,PHD,12,summer2015.xlsx,summer,2015,1,64
College of Arts-Philosophy,0893,PHD,34,fall2015.xlsx,fall,2015,2,65
College of Arts-Philosophy,0893,PHD,27,spring2016.xlsx,spring,2016,0,66
College of Arts-Philosophy,0893,PHD,11,summer2016.xlsx,summer,2016,1,67
College of Arts-Philosophy,0893,PHD,27,fall2016.xlsx,fall,2016,2,68
College of Arts-Philosophy,0893,PHD,26,spring2017.xlsx,spring,2017,0,69
College of Arts-Philosophy,0893,PHD,15,summer2017.xlsx,summer,2017,1,70
College of Arts-Philosophy,0893,PHD,21,fall2017.xlsx,fall,2017,2,71
College of Arts-Philosophy,0893,PHD,20,spring2018.xlsx,spring,2018,0,72
College of Arts-Philosophy,0893,PHD,9,summer2018.xlsx,summer,2018,1,73
College of Arts-Philosophy,0893,PHD,21,fall2018.xlsx,fall,2018,2,74
College of Arts-Philosophy,0893,PHD,21,spring2019.xlsx,spring,2019,0,75
College of Arts-Philosophy,0893,PHD,6,summer2019.xlsx,summer,2019,1,76
College of Arts-Philosophy,0893,PHD,20,fall2019.xlsx,fall,2019,2,77
College of Arts-Philosophy,0893,PHD,19,spring2020.xlsx,spring,2020,0,78
College of Arts-Second Language Studies,5642,PHD,1,summer2005.xlsx,summer,2005,1,1
College of Arts-Second Language Studies,5642,PHD,11,fall2005.xlsx,fall,2005,2,2
College of Arts-Second Language Studies,5642,PHD,11,spring2006.xlsx,spring,2006,0,3
College of Arts-Second Language Studies,5642,PHD,8,summer2006.xlsx,summer,2006,1,4
College of Arts-Second Language Studies,5642,PHD,19,fall2006.xlsx,fall,2006,2,5
College of Arts-Second Language Studies,5642,PHD,20,spring2007.xlsx,spring,2007,0,6
College of Arts-Second Language Studies,5642,PHD,8,summer2007.xlsx,summer,2007,1,7
College of Arts-Second Language Studies,5642,PHD,25,fall2007.xlsx,fall,2007,2,8
College of Arts-Second Language Studies,5642,PHD,24,spring2008.xlsx,spring,2008,0,9
College of Arts-Second Language Studies,5642,PHD,10,summer2008.xlsx,summer,2008,1,10
College of Arts-Second Language Studies,5642,PHD,28,fall2008.xlsx,fall,2008,2,11
College of Arts-Second Language Studies,5642,PHD,28,spring2009.xlsx,spring,2009,0,12
College of Arts-Second Language Studies,5642,PHD,13,summer2009.xlsx,summer,2009,1,13
College of Arts-Second Language Studies,5642,PHD,31,fall2009.xlsx,fall,2009,2,14
College of Arts-Second Language Studies,5642,PHD,30,spring2010.xlsx,spring,2010,0,15
College of Arts-Second Language Studies,5642,PHD,9,summer2010.xlsx,summer,2010,1,16
College of Arts-Second Language Studies,5642,PHD,35,fall2010.xlsx,fall,2010,2,17
College of Arts-Second Language Studies,5642,PHD,34,spring2011.xlsx,spring,2011,0,18
College of Arts-Second Language Studies,5642,PHD,11,summer2011.xlsx,summer,2011,1,19
College of Arts-Second Language Studies,5642,PHD,32,fall2011.xlsx,fall,2011,2,20
College of Arts-Second Language Studies,5642,PHD,31,spring2012.xlsx,spring,2012,0,21
College of Arts-Second Language Studies,5642,PHD,8,summer2012.xlsx,summer,2012,1,22
College of Arts-Second Language Studies,5642,PHD,34,fall2012.xlsx,fall,2012,2,23
College of Arts-Second Language Studies,5642,PHD,34,spring2013.xlsx,spring,2013,0,24
College of Arts-Second Language Studies,5642,PHD,6,summer2013.xlsx,summer,2013,1,25
College of Arts-Second Language Studies,5642,PHD,30,fall2013.xlsx,fall,2013,2,26
College of Arts-Second Language Studies,5642,PHD,29,spring2014.xlsx,spring,2014,0,27
College of Arts-Second Language Studies,5642,PHD,3,summer2014.xlsx,summer,2014,1,28
College of Arts-Second Language Studies,5642,PHD,33,fall2014.xlsx,fall,2014,2,29
College of Arts-Second Language Studies,5642,PHD,32,spring2015.xlsx,spring,2015,0,30
College of Arts-Second Language Studies,5642,PHD,3,summer2015.xlsx,summer,2015,1,31
College of Arts-Second Language Studies,5642,PHD,33,fall2015.xlsx,fall,2015,2,32
College of Arts-Second Language Studies,5642,PHD,34,spring2016.xlsx,spring,2016,0,33
College of Arts-Second Language Studies,5642,PHD,6,summer2016.xlsx,summer,2016,1,34
College of Arts-Second Language Studies,5642,PHD,32,fall2016.xlsx,fall,2016,2,35
College of Arts-Second Language Studies,5642,PHD,31,spring2017.xlsx,spring,2017,0,36
College of Arts-Second Language Studies,5642,PHD,3,summer2017.xlsx,summer,2017,1,37
College of Arts-Second Language Studies,5642,PHD,30,fall2017.xlsx,fall,2017,2,38
College of Arts-Second Language Studies,5642,PHD,30,spring2018.xlsx,spring,2018,0,39
College of Arts-Second Language Studies,5642,PHD,5,summer2018.xlsx,summer,2018,1,40
College of Arts-Second Language Studies,5642,PHD,28,fall2018.xlsx,fall,2018,2,41
College of Arts-Second Language Studies,5642,PHD,28,spring2019.xlsx,spring,2019,0,42
College of Arts-Second Language Studies,5642,PHD,5,summer2019.xlsx,summer,2019,1,43
College of Arts-Second Language Studies,5642,PHD,33,fall2019.xlsx,fall,2019,2,44
College of Arts-Second Language Studies,5642,PHD,32,spring2020.xlsx,spring,2020,0,45
"College of Arts-Spanish, Language & Literature",0930,PHD,8,summer1994.xlsx,summer,1994,1,1
"College of Arts-Spanish, Language & Literature",0930,PHD,11,fall1994.xlsx,fall,1994,2,2
"College of Arts-Spanish, Language & Literature",0930,PHD,13,spring1995.xlsx,spring,1995,0,3
"College of Arts-Spanish, Language & Literature",0930,PHD,10,summer1995.xlsx,summer,1995,1,4
"College of Arts-Spanish, Language & Literature",0930,PHD,15,fall1995.xlsx,fall,1995,2,5
"College of Arts-Spanish, Language & Literature",0930,PHD,16,spring1996.xlsx,spring,1996,0,6
"College of Arts-Spanish, Language & Literature",0930,PHD,11,summer1996.xlsx,summer,1996,1,7
"College of Arts-Spanish, Language & Literature",0930,PHD,19,fall1996.xlsx,fall,1996,2,8
"College of Arts-Spanish, Language & Literature",0930,PHD,19,spring1997.xlsx,spring,1997,0,9
"College of Arts-Spanish, Language & Literature",0930,PHD,13,summer1997.xlsx,summer,1997,1,10
"College of Arts-Spanish, Language & Literature",0930,PHD,19,fall1997.xlsx,fall,1997,2,11
"College of Arts-Spanish, Language & Literature",0930,PHD,20,spring1998.xlsx,spring,1998,0,12
"College of Arts-Spanish, Language & Literature",0930,PHD,10,summer1998.xlsx,summer,1998,1,13
"College of Arts-Spanish, Language & Literature",0930,PHD,14,fall1998.xlsx,fall,1998,2,14
"College of Arts-Spanish, Language & Literature",0930,PHD,15,spring1999.xlsx,spring,1999,0,15
"College of Arts-Spanish, Language & Literature",0930,PHD,10,summer1999.xlsx,summer,1999,1,16
"College of Arts-Spanish, Language & Literature",0930,PHD,18,fall1999.xlsx,fall,1999,2,17
"College of Arts-Spanish, Language & Literature",0930,PHD,21,spring2000.xlsx,spring,2000,0,18
"College of Arts-Spanish, Language & Literature",0930,PHD,15,summer2000.xlsx,summer,2000,1,19
"College of Arts-Spanish, Language & Literature",0930,PHD,17,fall2000.xlsx,fall,2000,2,20
"College of Arts-Spanish, Language & Literature",0930,PHD,17,spring2001.xlsx,spring,2001,0,21
"College of Arts-Spanish, Language & Literature",0930,PHD,12,summer2001.xlsx,summer,2001,1,22
"College of Arts-Spanish, Language & Literature",0930,PHD,13,fall2001.xlsx,fall,2001,2,23
"College of Arts-Spanish, Language & Literature",0930,PHD,15,spring2002.xlsx,spring,2002,0,24
"College of Arts-Spanish, Language & Literature",0930,PHD,10,summer2002.xlsx,summer,2002,1,25
College of Business-Accounting,1054,PHD,14,summer1994.xlsx,summer,1994,1,1
College of Business-Accounting,1054,PHD,18,fall1994.xlsx,fall,1994,2,2
College of Business-Accounting,1054,PHD,18,spring1995.xlsx,spring,1995,0,3
College of Business-Accounting,1054,PHD,16,summer1995.xlsx,summer,1995,1,4
College of Business-Accounting,1054,PHD,17,fall1995.xlsx,fall,1995,2,5
College of Business-Accounting,1054,PHD,18,spring1996.xlsx,spring,1996,0,6
College of Business-Accounting,1054,PHD,15,summer1996.xlsx,summer,1996,1,7
College of Business-Accounting,1054,PHD,16,fall1996.xlsx,fall,1996,2,8
College of Business-Accounting,1054,PHD,17,spring1997.xlsx,spring,1997,0,9
College of Business-Accounting,1054,PHD,12,summer1997.xlsx,summer,1997,1,10
College of Business-Accounting,1054,PHD,16,fall1997.xlsx,fall,1997,2,11
College of Business-Accounting,1054,PHD,16,spring1998.xlsx,spring,1998,0,12
College of Business-Accounting,1054,PHD,13,summer1998.xlsx,summer,1998,1,13
College of Business-Accounting,1054,PHD,16,fall1998.xlsx,fall,1998,2,14
College of Business-Accounting,1054,PHD,15,spring1999.xlsx,spring,1999,0,15
College of Business-Accounting,1054,PHD,12,summer1999.xlsx,summer,1999,1,16
College of Business-Accounting,1054,PHD,16,fall1999.xlsx,fall,1999,2,17
College of Business-Accounting,1054,PHD,14,spring2000.xlsx,spring,2000,0,18
College of Business-Accounting,1054,PHD,12,summer2000.xlsx,summer,2000,1,19
College of Business-Accounting,1054,PHD,15,fall2000.xlsx,fall,2000,2,20
College of Business-Accounting,1054,PHD,16,spring2001.xlsx,spring,2001,0,21
College of Business-Accounting,1054,PHD,9,summer2001.xlsx,summer,2001,1,22
College of Business-Accounting,1054,PHD,16,fall2001.xlsx,fall,2001,2,23
College of Business-Accounting,1054,PHD,14,spring2002.xlsx,spring,2002,0,24
College of Business-Accounting,1054,PHD,11,summer2002.xlsx,summer,2002,1,25
College of Business-Accounting,1054,PHD,18,fall2002.xlsx,fall,2002,2,26
College of Business-Accounting,1054,PHD,16,spring2003.xlsx,spring,2003,0,27
College of Business-Accounting,1054,PHD,11,summer2003.xlsx,summer,2003,1,28
College of Business-Accounting,1054,PHD,19,fall2003.xlsx,fall,2003,2,29
College of Business-Accounting,1054,PHD,20,spring2004.xlsx,spring,2004,0,30
College of Business-Accounting,1054,PHD,15,summer2004.xlsx,summer,2004,1,31
College of Business-Accounting,1054,PHD,17,fall2004.xlsx,fall,2004,2,32
College of Business-Accounting,1054,PHD,16,spring2005.xlsx,spring,2005,0,33
College of Business-Accounting,1054,PHD,11,summer2005.xlsx,summer,2005,1,34
College of Business-Accounting,1054,PHD,15,fall2005.xlsx,fall,2005,2,35
College of Business-Accounting,1054,PHD,14,spring2006.xlsx,spring,2006,0,36
College of Business-Accounting,1054,PHD,4,summer2006.xlsx,summer,2006,1,37
College of Business-Accounting,1054,PHD,10,fall2006.xlsx,fall,2006,2,38
College of Business-Accounting,1054,PHD,11,spring2007.xlsx,spring,2007,0,39
College of Business-Accounting,1054,PHD,9,summer2007.xlsx,summer,2007,1,40
College of Business-Accounting,1054,PHD,12,fall2007.xlsx,fall,2007,2,41
College of Business-Accounting,1054,PHD,9,spring2008.xlsx,spring,2008,0,42
College of Business-Accounting,1054,PHD,4,summer2008.xlsx,summer,2008,1,43
College of Business-Accounting,1054,PHD,9,fall2008.xlsx,fall,2008,2,44
College of Business-Accounting,1054,PHD,9,spring2009.xlsx,spring,2009,0,45
College of Business-Accounting,1054,PHD,3,summer2009.xlsx,summer,2009,1,46
College of Business-Accounting,1054,PHD,12,fall2009.xlsx,fall,2009,2,47
College of Business-Accounting,1054,PHD,12,spring2010.xlsx,spring,2010,0,48
College of Business-Accounting,1054,PHD,7,summer2010.xlsx,summer,2010,1,49
College of Business-Accounting,1054,PHD,12,fall2010.xlsx,fall,2010,2,50
College of Business-Accounting,1054,PHD,12,spring2011.xlsx,spring,2011,0,51
College of Business-Accounting,1054,PHD,7,summer2011.xlsx,summer,2011,1,52
College of Business-Accounting,1054,PHD,14,fall2011.xlsx,fall,2011,2,53
College of Business-Accounting,1054,PHD,14,spring2012.xlsx,spring,2012,0,54
College of Business-Accounting,1054,PHD,10,summer2012.xlsx,summer,2012,1,55
College of Business-Accounting,1054,PHD,15,fall2012.xlsx,fall,2012,2,56
College of Business-Accounting,1054,PHD,15,spring2013.xlsx,spring,2013,0,57
College of Business-Accounting,1054,PHD,10,summer2013.xlsx,summer,2013,1,58
College of Business-Accounting,1054,PHD,15,fall2013.xlsx,fall,2013,2,59
College of Business-Accounting,1054,PHD,15,spring2014.xlsx,spring,2014,0,60
College of Business-Accounting,1054,PHD,7,summer2014.xlsx,summer,2014,1,61
College of Business-Accounting,1054,PHD,12,fall2014.xlsx,fall,2014,2,62
College of Business-Accounting,1054,PHD,11,spring2015.xlsx,spring,2015,0,63
College of Business-Accounting,1054,PHD,7,summer2015.xlsx,summer,2015,1,64
College of Business-Accounting,1054,PHD,12,fall2015.xlsx,fall,2015,2,65
College of Business-Accounting,1054,PHD,12,spring2016.xlsx,spring,2016,0,66
College of Business-Accounting,1054,PHD,6,summer2016.xlsx,summer,2016,1,67
College of Business-Accounting,1054,PHD,12,fall2016.xlsx,fall,2016,2,68
College of Business-Accounting,1054,PHD,11,spring2017.xlsx,spring,2017,0,69
College of Business-Accounting,1054,PHD,5,summer2017.xlsx,summer,2017,1,70
College of Business-Accounting,1054,PHD,12,fall2017.xlsx,fall,2017,2,71
College of Business-Accounting,1054,PHD,12,spring2018.xlsx,spring,2018,0,72
College of Business-Accounting,1054,PHD,6,summer2018.xlsx,summer,2018,1,73
College of Business-Accounting,1054,PHD,13,fall2018.xlsx,fall,2018,2,74
College of Business-Accounting,1054,PHD,13,spring2019.xlsx,spring,2019,0,75
College of Business-Accounting,1054,PHD,4,summer2019.xlsx,summer,2019,1,76
College of Business-Accounting,1054,PHD,14,fall2019.xlsx,fall,2019,2,77
College of Business-Accounting,1054,PHD,13,spring2020.xlsx,spring,2020,0,78
College of Business-Business Information Systems,6024,PHD,3,fall2005.xlsx,fall,2005,2,1
College of Business-Business Information Systems,6024,PHD,3,spring2006.xlsx,spring,2006,0,2
College of Business-Business Information Systems,6024,PHD,7,summer2006.xlsx,summer,2006,1,3
College of Business-Business Information Systems,6024,PHD,7,fall2006.xlsx,fall,2006,2,4
College of Business-Business Information Systems,6024,PHD,6,spring2007.xlsx,spring,2007,0,5
College of Business-Business Information Systems,6024,PHD,6,summer2007.xlsx,summer,2007,1,6
College of Business-Business Information Systems,6024,PHD,6,fall2007.xlsx,fall,2007,2,7
College of Business-Business Information Systems,6024,PHD,9,spring2008.xlsx,spring,2008,0,8
College of Business-Business Information Systems,6024,PHD,6,summer2008.xlsx,summer,2008,1,9
College of Business-Business Information Systems,6024,PHD,7,fall2008.xlsx,fall,2008,2,10
College of Business-Business Information Systems,6024,PHD,7,spring2009.xlsx,spring,2009,0,11
College of Business-Business Information Systems,6024,PHD,5,summer2009.xlsx,summer,2009,1,12
College of Business-Business Information Systems,6024,PHD,7,fall2009.xlsx,fall,2009,2,13
College of Business-Business Information Systems,6024,PHD,7,spring2010.xlsx,spring,2010,0,14
College of Business-Business Information Systems,6024,PHD,4,summer2010.xlsx,summer,2010,1,15
College of Business-Business Information Systems,6024,PHD,5,fall2010.xlsx,fall,2010,2,16
College of Business-Business Information Systems,6024,PHD,5,spring2011.xlsx,spring,2011,0,17
College of Business-Business Information Systems,6024,PHD,3,summer2011.xlsx,summer,2011,1,18
College of Business-Business Information Systems,6024,PHD,6,fall2011.xlsx,fall,2011,2,19
College of Business-Business Information Systems,6024,PHD,6,spring2012.xlsx,spring,2012,0,20
College of Business-Business Information Systems,6024,PHD,4,summer2012.xlsx,summer,2012,1,21
College of Business-Business Information Systems,6024,PHD,5,fall2012.xlsx,fall,2012,2,22
College of Business-Business Information Systems,6024,PHD,5,spring2013.xlsx,spring,2013,0,23
College of Business-Business Information Systems,6024,PHD,4,summer2013.xlsx,summer,2013,1,24
College of Business-Business Information Systems,6024,PHD,6,fall2013.xlsx,fall,2013,2,25
College of Business-Business Information Systems,6024,PHD,6,spring2014.xlsx,spring,2014,0,26
College of Business-Business Information Systems,6024,PHD,4,summer2014.xlsx,summer,2014,1,27
College of Business-Business Information Systems,6024,PHD,6,fall2014.xlsx,fall,2014,2,28
College of Business-Business Information Systems,6024,PHD,6,spring2015.xlsx,spring,2015,0,29
College of Business-Business Information Systems,6024,PHD,5,summer2015.xlsx,summer,2015,1,30
College of Business-Business Information Systems,6024,PHD,5,fall2015.xlsx,fall,2015,2,31
College of Business-Business Information Systems,6024,PHD,5,spring2016.xlsx,spring,2016,0,32
College of Business-Business Information Systems,6024,PHD,4,summer2016.xlsx,summer,2016,1,33
College of Business-Business Information Systems,6024,PHD,6,fall2016.xlsx,fall,2016,2,34
College of Business-Business Information Systems,6024,PHD,6,spring2017.xlsx,spring,2017,0,35
College of Business-Business Information Systems,6024,PHD,2,summer2017.xlsx,summer,2017,1,36
College of Business-Business Information Systems,6024,PHD,4,fall2017.xlsx,fall,2017,2,37
College of Business-Business Information Systems,6024,PHD,4,spring2018.xlsx,spring,2018,0,38
College of Business-Business Information Systems,6024,PHD,3,summer2018.xlsx,summer,2018,1,39
College of Business-Business Information Systems,6024,PHD,2,fall2018.xlsx,fall,2018,2,40
College of Business-Business Information Systems,6024,PHD,2,spring2019.xlsx,spring,2019,0,41
College of Business-Business Information Systems,6024,PHD,2,summer2019.xlsx,summer,2019,1,42
College of Business-Business Information Systems,6024,PHD,2,fall2019.xlsx,fall,2019,2,43
College of Business-Business Information Systems,6024,PHD,2,spring2020.xlsx,spring,2020,0,44
College of Business-Economics,1102,PHD,29,summer1994.xlsx,summer,1994,1,1
College of Business-Economics,1102,PHD,124,fall1994.xlsx,fall,1994,2,2
College of Business-Economics,1102,PHD,127,spring1995.xlsx,spring,1995,0,3
College of Business-Economics,1102,PHD,34,summer1995.xlsx,summer,1995,1,4
College of Business-Economics,1102,PHD,125,fall1995.xlsx,fall,1995,2,5
College of Business-Economics,1102,PHD,116,spring1996.xlsx,spring,1996,0,6
College of Business-Economics,1102,PHD,38,summer1996.xlsx,summer,1996,1,7
College of Business-Economics,1102,PHD,119,fall1996.xlsx,fall,1996,2,8
College of Business-Economics,1102,PHD,106,spring1997.xlsx,spring,1997,0,9
College of Business-Economics,1102,PHD,29,summer1997.xlsx,summer,1997,1,10
College of Business-Economics,1102,PHD,106,fall1997.xlsx,fall,1997,2,11
College of Business-Economics,1102,PHD,92,spring1998.xlsx,spring,1998,0,12
College of Business-Economics,1102,PHD,34,summer1998.xlsx,summer,1998,1,13
College of Business-Economics,1102,PHD,92,fall1998.xlsx,fall,1998,2,14
College of Business-Economics,1102,PHD,88,spring1999.xlsx,spring,1999,0,15
College of Business-Economics,1102,PHD,27,summer1999.xlsx,summer,1999,1,16
College of Business-Economics,1102,PHD,86,fall1999.xlsx,fall,1999,2,17
College of Business-Economics,1102,PHD,87,spring2000.xlsx,spring,2000,0,18
College of Business-Economics,1102,PHD,34,summer2000.xlsx,summer,2000,1,19
College of Business-Economics,1102,PHD,85,fall2000.xlsx,fall,2000,2,20
College of Business-Economics,1102,PHD,85,spring2001.xlsx,spring,2001,0,21
College of Business-Economics,1102,PHD,33,summer2001.xlsx,summer,2001,1,22
College of Business-Economics,1102,PHD,88,fall2001.xlsx,fall,2001,2,23
College of Business-Economics,1102,PHD,85,spring2002.xlsx,spring,2002,0,24
College of Business-Economics,1102,PHD,41,summer2002.xlsx,summer,2002,1,25
College of Business-Economics,1102,PHD,65,fall2002.xlsx,fall,2002,2,26
College of Business-Economics,1102,PHD,61,spring2003.xlsx,spring,2003,0,27
College of Business-Economics,1102,PHD,33,summer2003.xlsx,summer,2003,1,28
College of Business-Economics,1102,PHD,48,fall2003.xlsx,fall,2003,2,29
College of Business-Economics,1102,PHD,41,spring2004.xlsx,spring,2004,0,30
College of Business-Economics,1102,PHD,22,summer2004.xlsx,summer,2004,1,31
College of Business-Economics,1102,PHD,25,fall2004.xlsx,fall,2004,2,32
College of Business-Economics,1102,PHD,24,spring2005.xlsx,spring,2005,0,33
College of Business-Economics,1102,PHD,15,summer2005.xlsx,summer,2005,1,34
College of Business-Economics,1102,PHD,16,fall2005.xlsx,fall,2005,2,35
College of Business-Economics,1102,PHD,16,spring2006.xlsx,spring,2006,0,36
College of Business-Economics,1102,PHD,9,summer2006.xlsx,summer,2006,1,37
College of Business-Economics,1102,PHD,3,fall2006.xlsx,fall,2006,2,38
College of Business-Economics,1102,PHD,2,spring2007.xlsx,spring,2007,0,39
College of Business-Economics,1102,PHD,3,summer2007.xlsx,summer,2007,1,40
College of Business-Economics,1102,PHD,2,fall2007.xlsx,fall,2007,2,41
College of Business-Economics,1102,PHD,2,spring2008.xlsx,spring,2008,0,42
College of Business-Finance,1139,PHD,12,summer1994.xlsx,summer,1994,1,1
College of Business-Finance,1139,PHD,15,fall1994.xlsx,fall,1994,2,2
College of Business-Finance,1139,PHD,16,spring1995.xlsx,spring,1995,0,3
College of Business-Finance,1139,PHD,13,summer1995.xlsx,summer,1995,1,4
College of Business-Finance,1139,PHD,12,fall1995.xlsx,fall,1995,2,5
College of Business-Finance,1139,PHD,13,spring1996.xlsx,spring,1996,0,6
College of Business-Finance,1139,PHD,11,summer1996.xlsx,summer,1996,1,7
College of Business-Finance,1139,PHD,12,fall1996.xlsx,fall,1996,2,8
College of Business-Finance,1139,PHD,12,spring1997.xlsx,spring,1997,0,9
College of Business-Finance,1139,PHD,8,summer1997.xlsx,summer,1997,1,10
College of Business-Finance,1139,PHD,10,fall1997.xlsx,fall,1997,2,11
College of Business-Finance,1139,PHD,12,spring1998.xlsx,spring,1998,0,12
College of Business-Finance,1139,PHD,8,summer1998.xlsx,summer,1998,1,13
College of Business-Finance,1139,PHD,12,fall1998.xlsx,fall,1998,2,14
College of Business-Finance,1139,PHD,11,spring1999.xlsx,spring,1999,0,15
College of Business-Finance,1139,PHD,4,summer1999.xlsx,summer,1999,1,16
College of Business-Finance,1139,PHD,7,fall1999.xlsx,fall,1999,2,17
College of Business-Finance,1139,PHD,7,spring2000.xlsx,spring,2000,0,18
College of Business-Finance,1139,PHD,6,summer2000.xlsx,summer,2000,1,19
College of Business-Finance,1139,PHD,9,fall2000.xlsx,fall,2000,2,20
College of Business-Finance,1139,PHD,8,spring2001.xlsx,spring,2001,0,21
College of Business-Finance,1139,PHD,7,summer2001.xlsx,summer,2001,1,22
College of Business-Finance,1139,PHD,8,fall2001.xlsx,fall,2001,2,23
College of Business-Finance,1139,PHD,8,spring2002.xlsx,spring,2002,0,24
College of Business-Finance,1139,PHD,6,summer2002.xlsx,summer,2002,1,25
College of Business-Finance,1139,PHD,12,fall2002.xlsx,fall,2002,2,26
College of Business-Finance,1139,PHD,12,spring2003.xlsx,spring,2003,0,27
College of Business-Finance,1139,PHD,9,summer2003.xlsx,summer,2003,1,28
College of Business-Finance,1139,PHD,11,fall2003.xlsx,fall,2003,2,29
College of Business-Finance,1139,PHD,10,spring2004.xlsx,spring,2004,0,30
College of Business-Finance,1139,PHD,8,summer2004.xlsx,summer,2004,1,31
College of Business-Finance,1139,PHD,15,fall2004.xlsx,fall,2004,2,32
College of Business-Finance,1139,PHD,15,spring2005.xlsx,spring,2005,0,33
College of Business-Finance,1139,PHD,13,summer2005.xlsx,summer,2005,1,34
College of Business-Finance,1139,PHD,12,fall2005.xlsx,fall,2005,2,35
College of Business-Finance,1139,PHD,11,spring2006.xlsx,spring,2006,0,36
College of Business-Finance,1139,PHD,8,summer2006.xlsx,summer,2006,1,37
College of Business-Finance,1139,PHD,11,fall2006.xlsx,fall,2006,2,38
College of Business-Finance,1139,PHD,12,spring2007.xlsx,spring,2007,0,39
College of Business-Finance,1139,PHD,11,summer2007.xlsx,summer,2007,1,40
College of Business-Finance,1139,PHD,12,fall2007.xlsx,fall,2007,2,41
College of Business-Finance,1139,PHD,12,spring2008.xlsx,spring,2008,0,42
College of Business-Finance,1139,PHD,7,summer2008.xlsx,summer,2008,1,43
College of Business-Finance,1139,PHD,12,fall2008.xlsx,fall,2008,2,44
College of Business-Finance,1139,PHD,12,spring2009.xlsx,spring,2009,0,45
College of Business-Finance,1139,PHD,8,summer2009.xlsx,summer,2009,1,46
College of Business-Finance,1139,PHD,5,fall2009.xlsx,fall,2009,2,47
College of Business-Finance,1139,PHD,6,spring2010.xlsx,spring,2010,0,48
College of Business-Finance,1139,PHD,5,summer2010.xlsx,summer,2010,1,49
College of Business-Finance,1139,PHD,4,fall2010.xlsx,fall,2010,2,50
College of Business-Finance,1139,PHD,4,spring2011.xlsx,spring,2011,0,51
