k,probability,b_val
0,0.3566,0.6
1,0.0502,0.6
2,0.078,0.6
3,0.0962,0.6
4,0.0863,0.6
5,0.0661,0.6
6,0.046,0.6
7,0.0329,0.6
8,0.0294,0.6
9,0.0255,0.6
10,0.033,0.6
11,0.0308,0.6
12,0.0251,0.6
13,0.0218,0.6
14,0.0139,0.6
15,0.0056,0.6
16,0.002,0.6
17,0.0005,0.6
18,0.0001,0.6
19,0.0,0.6
20,0.0,0.6
