k,probability,b_val
0,0.3683,0.5
1,0.0521,0.5
2,0.0714,0.5
3,0.0886,0.5
4,0.0906,0.5
5,0.0673,0.5
6,0.0473,0.5
7,0.0328,0.5
8,0.0272,0.5
9,0.0294,0.5
10,0.0294,0.5
11,0.0296,0.5
12,0.0258,0.5
13,0.0205,0.5
14,0.0109,0.5
15,0.0056,0.5
16,0.0023,0.5
17,0.0006,0.5
18,0.0003,0.5
19,0.0,0.5
20,0.0,0.5
