k,probability,b_val
0,0.3602,-1.0
1,0.092,-1.0
2,0.1127,-1.0
3,0.1137,-1.0
4,0.1005,-1.0
5,0.0705,-1.0
6,0.0405,-1.0
7,0.0229,-1.0
8,0.0211,-1.0
9,0.0175,-1.0
10,0.0176,-1.0
11,0.0134,-1.0
12,0.01,-1.0
13,0.0039,-1.0
14,0.0025,-1.0
15,0.0009,-1.0
16,0.0001,-1.0
17,0.0,-1.0
18,0.0,-1.0
19,0.0,-1.0
20,0.0,-1.0
