k,probability,b_val
0,0.3488,-0.3
1,0.0941,-0.3
2,0.1128,-0.3
3,0.1178,-0.3
4,0.0967,-0.3
5,0.0716,-0.3
6,0.0395,-0.3
7,0.0248,-0.3
8,0.0213,-0.3
9,0.0169,-0.3
10,0.0209,-0.3
11,0.015,-0.3
12,0.0114,-0.3
13,0.0055,-0.3
14,0.002,-0.3
15,0.0007,-0.3
16,0.0002,-0.3
17,0.0,-0.3
18,0.0,-0.3
19,0.0,-0.3
20,0.0,-0.3
