k,probability,b_val
0,0.3521,-0.1
1,0.0985,-0.1
2,0.1117,-0.1
3,0.1169,-0.1
4,0.0982,-0.1
5,0.0695,-0.1
6,0.0415,-0.1
7,0.0265,-0.1
8,0.0181,-0.1
9,0.0185,-0.1
10,0.0176,-0.1
11,0.0148,-0.1
12,0.0084,-0.1
13,0.0046,-0.1
14,0.0015,-0.1
15,0.0013,-0.1
16,0.0002,-0.1
17,0.0001,-0.1
18,0.0,-0.1
19,0.0,-0.1
20,0.0,-0.1
