owner,repo,etag
mashlol,notify,"W/""0e9768b7e9167061cd382c81cf6a402e2c32f8bc9bec499c0c875eda1c96d500"""
mpark,variant,"W/""0a22812942a52c0dae4ebb6dc874f0f8d0896c9c8951a787969f2b29bb6bf13a"""
passy,build-time-tracker-plugin,"W/""e99be7f2ee23301b10d4c67c3860ae9d3f128850e8e8e8e92f30516dbee349f2"""
nsomar,OAStackView,"W/""c294f5f79a4f6ed5397f50d848f7acbfa07aeebfb6520bf245dabf6dda49e056"""
nsomar,Guaka,"W/""d8abdbfdea7e8d481dddbcc3d18b727fcf2b875717a9bdf202d949c66ef699a9"""
rendro,easy-pie-chart,"W/""29fa56d08bfcc9564b94f5e090d292f8aae655dbff8ad0b2dbf4bad987be9322"""
rendro,vintageJS,"W/""6f4cee136ce450fd7f8d3725b160e5e4f090bc75819ede3d551441d29e398931"""
soumith,convnet-benchmarks,"W/""8fc45b27a1fcf41e2b2bd41fd89da3224727b21d67b4afed6a2c3569ef137de8"""
soumith,dcgan.torch,"W/""44228d6a07a71d0fd7a9348063b166e43d2677a40d8413e561dec3621a423c2a"""
