k,probability,b_val
0,0.0081,-0.3
1,0.0279,-0.3
2,0.0349,-0.3
3,0.042,-0.3
4,0.0421,-0.3
5,0.0466,-0.3
6,0.0438,-0.3
7,0.0478,-0.3
8,0.0543,-0.3
9,0.0512,-0.3
10,0.0511,-0.3
11,0.051,-0.3
12,0.0546,-0.3
13,0.0585,-0.3
14,0.0561,-0.3
15,0.0572,-0.3
16,0.0569,-0.3
17,0.0566,-0.3
18,0.0577,-0.3
19,0.1016,-0.3
20,0.0,-0.3
