k,probability,b_val
0,0.0085,-0.6
1,0.0272,-0.6
2,0.0365,-0.6
3,0.0407,-0.6
4,0.0461,-0.6
5,0.0446,-0.6
6,0.0483,-0.6
7,0.049,-0.6
8,0.0488,-0.6
9,0.05,-0.6
10,0.0541,-0.6
11,0.0515,-0.6
12,0.053,-0.6
13,0.06,-0.6
14,0.0591,-0.6
15,0.0515,-0.6
16,0.0543,-0.6
17,0.0588,-0.6
18,0.0561,-0.6
19,0.1019,-0.6
20,0.0,-0.6
