k,probability,b_val
0,0.0074,0.5
1,0.0234,0.5
2,0.0375,0.5
3,0.0416,0.5
4,0.0415,0.5
5,0.0465,0.5
6,0.049,0.5
7,0.0458,0.5
8,0.0483,0.5
9,0.053,0.5
10,0.0533,0.5
11,0.0541,0.5
12,0.0516,0.5
13,0.0555,0.5
14,0.0573,0.5
15,0.0558,0.5
16,0.0579,0.5
17,0.0568,0.5
18,0.058,0.5
19,0.1057,0.5
20,0.0,0.5
