k,probability,b_val
0,0.006,-1.0
1,0.0269,-1.0
2,0.0353,-1.0
3,0.039,-1.0
4,0.0436,-1.0
5,0.0486,-1.0
6,0.0478,-1.0
7,0.0497,-1.0
8,0.0463,-1.0
9,0.0518,-1.0
10,0.0523,-1.0
11,0.0558,-1.0
12,0.052,-1.0
13,0.0568,-1.0
14,0.0553,-1.0
15,0.057,-1.0
16,0.059,-1.0
17,0.0547,-1.0
18,0.0567,-1.0
19,0.1054,-1.0
20,0.0,-1.0
