k,probability,b_val
0,0.0084,-0.4
1,0.0276,-0.4
2,0.0341,-0.4
3,0.0404,-0.4
4,0.0444,-0.4
5,0.0409,-0.4
6,0.0444,-0.4
7,0.0478,-0.4
8,0.0507,-0.4
9,0.0531,-0.4
10,0.0544,-0.4
11,0.0566,-0.4
12,0.0526,-0.4
13,0.0549,-0.4
14,0.0582,-0.4
15,0.055,-0.4
16,0.0589,-0.4
17,0.0555,-0.4
18,0.0573,-0.4
19,0.1048,-0.4
20,0.0,-0.4
