k,probability,b_val
0,0.0079,0.4
1,0.0247,0.4
2,0.0373,0.4
3,0.0367,0.4
4,0.0428,0.4
5,0.0465,0.4
6,0.0459,0.4
7,0.0471,0.4
8,0.0494,0.4
9,0.0527,0.4
10,0.0533,0.4
11,0.052,0.4
12,0.0538,0.4
13,0.0524,0.4
14,0.0592,0.4
15,0.0535,0.4
16,0.0513,0.4
17,0.0597,0.4
18,0.0608,0.4
19,0.113,0.4
20,0.0,0.4
