owner_login,name,etag
hanwen,go-mtpfs,"W/""2a93c0b3aa819a1eea6c349f5608e6378cc5243707f0151753f97675c6aa9018"""
hanwen,go-fuse,"W/""2531f1b12a6685aa06f6565056e7636043bfcd78c681d000717fe6cea17bf0c7"""
hibiken,asynq,"W/""0eb3bd2bf299f9fa72d1eb717b198a92607aa0a0a0b379ab3184b2c3ab276684"""
housseindjirdeh,angular2-hn,"W/""4372aef39f1c13b2cac75089f397a2eb1d04e9a8c0472230fc07d8eb27fa3a11"""
jakearchibald,sprite-cow,"W/""4097fabff9a39be98eacdcb85793c53369e78649e343ec1a7532d356f181a07f"""
jakearchibald,idb-keyval,"W/""5d612107e70dfb6a37a3d52889cc070a577dfd579a045266001ee485a774cf06"""
jakearchibald,idb,"W/""807499eaeeb4dc6b9316254a703b3bf472dc28eb72a52a8656104ade79a75718"""
jakearchibald,svgomg,"W/""9363862b14ef006a26849da22030233e00b6a8c62466e9c6138957afa267086d"""
JayXon,Leanify,"W/""7726d8b8c1cb84d2806c12891ed7e08bfcacce6c2548e70f58982c221ed97a51"""
jasonmayes,Twitter-Post-Fetcher,"W/""620df39b6cb62c28d996f145792900e45dfd8c45ec2155679d803c1823b23681"""
jaredsburrows,gradle-license-plugin,"W/""33fb89947e316e01e38e812ce76704c3354dc8a9f51de0ede35c4ecb12e0ce81"""
