url,id,node_id,number,title,description,creator_id,open_issues,closed_issues,state,created_at,updated_at,due_on,closed_at,html_url,labels_url
https://api.github.com/repos/hibiken/asynq/milestones/2,6435236,MDk6TWlsZXN0b25lNjQzNTIzNg==,2,v1.0.0,This is a milestone for asynq v1.0.0.,10953044,3,0,open,2021-02-15T19:19:04Z,2021-02-15T23:02:50Z,NA,NA,https://github.com/hibiken/asynq/milestone/2,https://api.github.com/repos/hibiken/asynq/milestones/2/labels
https://api.github.com/repos/hibiken/asynq/milestones/1,5392572,MDk6TWlsZXN0b25lNTM5MjU3Mg==,1,v0.9.0,NA,10953044,0,3,closed,2020-05-07T03:45:51Z,2021-02-15T19:16:01Z,NA,2021-02-15T19:16:01Z,https://github.com/hibiken/asynq/milestone/1,https://api.github.com/repos/hibiken/asynq/milestones/1/labels
https://api.github.com/repos/jakearchibald/sprite-cow/milestones/1,127330,MDk6TWlsZXN0b25lMTI3MzMw,1,5.0,,93594,8,2,open,2012-06-03T13:05:13Z,2012-06-27T08:58:03Z,NA,NA,https://github.com/jakearchibald/sprite-cow/milestone/1,https://api.github.com/repos/jakearchibald/sprite-cow/milestones/1/labels
https://api.github.com/repos/JayXon/Leanify/milestones/1,1430613,MDk6TWlsZXN0b25lMTQzMDYxMw==,1,0.4.4,,1552641,1,1,open,2015-11-26T06:50:16Z,2018-10-14T08:24:45Z,NA,NA,https://github.com/JayXon/Leanify/milestone/1,https://api.github.com/repos/JayXon/Leanify/milestones/1/labels
