owner,repo,etag
hanwen,go-mtpfs,"W/""7048b1318e54aac7775973dc7e6f2f0a5798deddf4e862aa889d84444b537c00"""
hanwen,go-fuse,"W/""b7d36d3523c7d20e58e2c4b684626aea1cfa744c4e3a95d44b987d28254a3d40"""
hibiken,asynq,"W/""d9688adbc593fb9051a29752b5ff25119158b27b9a22f41930c5752131905df8"""
housseindjirdeh,angular2-hn,"W/""bb59970e51bbb23cd828a2dc051f93f52f6a7074de2dda714763b9cae49bd2b8"""
jakearchibald,sprite-cow,"W/""fb0e6130c27012756b622aa4654cbe1429c9f07b1acef23eca92104ca8c822d8"""
jakearchibald,idb-keyval,"W/""48cb3ecdb7d4b689343f53adc387183b6875595cc942ee3f043c34f2c67d87e0"""
jakearchibald,idb,"W/""1559402930a99c1425494193f06039d78f3c46a89fdc96b0448236d5bfea002e"""
jakearchibald,svgomg,"W/""393c5d6ee9c5bfde361f56d9b7d7522e34dbd09616f26e62ac6b8f9216e6a41a"""
JayXon,Leanify,"W/""4209e8eaf518773dff0edd35331eb25afce89b320d18cea64de209b76027de7b"""
jasonmayes,Twitter-Post-Fetcher,"W/""245f224f2b55deaaf5026a36558b775ff2e8571d5f7a3acfe98bb1f9b75e882d"""
jaredsburrows,gradle-license-plugin,"W/""d57303931245bbe4cf5abfb5dc112acad7c0aecb4d4a550411903ec0e8288651"""
