owner,repo,etag
sayedihashimi,package-web,"W/""91bd162960c0ed919610abdffd2e8d884479ba7cd29fec43905bb4dacd41a6f5"""
seveas,git-spindle,"W/""b6ac6e568c47db6c242790b49ef02b407a3000389372bb31d3ce40d86d749ff8"""
seveas,python-hpilo,"W/""87bab2b3d7acdbb24a043f3408bbba371e0141b94c2b9072ba953270add9a417"""
sethjuarez,numl,"W/""536599cb0f14749b830c33754a7ffabfca21671e622882cfd07e838d83a10f3f"""
sgrebnov,cordova-plugin-background-download,"W/""1f763af8bbd0b327a630a626312bf7fa284610527b1e38b4a7b8271f062e1627"""
stephenegriffin,MHA,"W/""70535a24d838ba13d1ccd194a11e79db735d75c457c1edb7b5e589ef43484920"""
stephenegriffin,mfcmapi,"W/""f78a5a50eccd9da77f606950db791a38e7067549fc47807f22736af5db69c7ca"""
tanaypratap,ama,"W/""38e561ae69ad4edf3ac3be8cfe4f58de88f60bd8bc8086a946638eca6e71c5e5"""
TartanLlama,expected,"W/""496229345320ed58213c23e818e9481cded03f2438e0b0a9baae0eea05b33d39"""
terrajobst,nquery,"W/""27dc952ba04f990fe1109a46c711a9442a612a7324965ed35e563d22761dbb25"""
