k,probability,b_val
0,0.367,1.0
1,0.0515,1.0
2,0.0752,1.0
3,0.0906,1.0
4,0.087,1.0
5,0.063,1.0
6,0.046,1.0
7,0.0298,1.0
8,0.0296,1.0
9,0.0281,1.0
10,0.0306,1.0
11,0.0299,1.0
12,0.0293,1.0
13,0.0205,1.0
14,0.0136,1.0
15,0.0058,1.0
16,0.002,1.0
17,0.0005,1.0
18,0.0,1.0
19,0.0,1.0
20,0.0,1.0
