k,probability,b_val
0,0.3509,-0.8
1,0.0906,-0.8
2,0.1083,-0.8
3,0.1211,-0.8
4,0.1001,-0.8
5,0.0664,-0.8
6,0.0428,-0.8
7,0.0264,-0.8
8,0.0195,-0.8
9,0.0166,-0.8
10,0.02,-0.8
11,0.0169,-0.8
12,0.0115,-0.8
13,0.0053,-0.8
14,0.0027,-0.8
15,0.0008,-0.8
16,0.0001,-0.8
17,0.0,-0.8
18,0.0,-0.8
19,0.0,-0.8
20,0.0,-0.8
