k,probability,b_val
0,0.3752,0.7
1,0.0474,0.7
2,0.0738,0.7
3,0.0913,0.7
4,0.0844,0.7
5,0.0618,0.7
6,0.0481,0.7
7,0.0346,0.7
8,0.0273,0.7
9,0.0262,0.7
10,0.0305,0.7
11,0.0297,0.7
12,0.0256,0.7
13,0.0215,0.7
14,0.0122,0.7
15,0.0065,0.7
16,0.0025,0.7
17,0.0009,0.7
18,0.0004,0.7
19,0.0001,0.7
20,0.0,0.7
