k,probability,b_val
0,0.3667,0.1
1,0.0522,0.1
2,0.0798,0.1
3,0.089,0.1
4,0.0859,0.1
5,0.0693,0.1
6,0.0449,0.1
7,0.0315,0.1
8,0.0274,0.1
9,0.0288,0.1
10,0.0276,0.1
11,0.032,0.1
12,0.0271,0.1
13,0.0188,0.1
14,0.0115,0.1
15,0.0049,0.1
16,0.0017,0.1
17,0.0006,0.1
18,0.0003,0.1
19,0.0,0.1
20,0.0,0.1
