k,probability,b_val
0,0.3455,-0.5
1,0.0898,-0.5
2,0.1144,-0.5
3,0.1196,-0.5
4,0.1012,-0.5
5,0.068,-0.5
6,0.0398,-0.5
7,0.027,-0.5
8,0.0197,-0.5
9,0.0205,-0.5
10,0.0201,-0.5
11,0.0146,-0.5
12,0.0115,-0.5
13,0.0053,-0.5
14,0.0021,-0.5
15,0.0007,-0.5
16,0.0002,-0.5
17,0.0,-0.5
18,0.0,-0.5
19,0.0,-0.5
20,0.0,-0.5
