k,probability,b_val
0,0.3703,0.9
1,0.0497,0.9
2,0.0751,0.9
3,0.0921,0.9
4,0.0799,0.9
5,0.0618,0.9
6,0.0479,0.9
7,0.0325,0.9
8,0.0263,0.9
9,0.0282,0.9
10,0.0324,0.9
11,0.0345,0.9
12,0.0296,0.9
13,0.017,0.9
14,0.0132,0.9
15,0.0053,0.9
16,0.0034,0.9
17,0.0007,0.9
18,0.0001,0.9
19,0.0,0.9
20,0.0,0.9
