k,probability,b_val
0,0.36,-0.9
1,0.0913,-0.9
2,0.1045,-0.9
3,0.1156,-0.9
4,0.1023,-0.9
5,0.0691,-0.9
6,0.0408,-0.9
7,0.0247,-0.9
8,0.0203,-0.9
9,0.0189,-0.9
10,0.0192,-0.9
11,0.0144,-0.9
12,0.0089,-0.9
13,0.0063,-0.9
14,0.0027,-0.9
15,0.0008,-0.9
16,0.0002,-0.9
17,0.0,-0.9
18,0.0,-0.9
19,0.0,-0.9
20,0.0,-0.9
