issue_id,id,node_id,url,name,color,default,description
847156363,2420736289,MDU6TGFiZWwyNDIwNzM2Mjg5,https://api.github.com/repos/jrtom/jung/labels/dependencies,dependencies,0366d6,FALSE,Pull requests that update a dependency file
719670013,2420736289,MDU6TGFiZWwyNDIwNzM2Mjg5,https://api.github.com/repos/jrtom/jung/labels/dependencies,dependencies,0366d6,FALSE,Pull requests that update a dependency file
382007681,232671927,MDU6TGFiZWwyMzI2NzE5Mjc=,https://api.github.com/repos/jrtom/jung/labels/bug,bug,fc2929,TRUE,NA
288368822,232671929,MDU6TGFiZWwyMzI2NzE5Mjk=,https://api.github.com/repos/jrtom/jung/labels/enhancement,enhancement,84b6eb,TRUE,NA
288294361,232671927,MDU6TGFiZWwyMzI2NzE5Mjc=,https://api.github.com/repos/jrtom/jung/labels/bug,bug,fc2929,TRUE,NA
277618014,232671929,MDU6TGFiZWwyMzI2NzE5Mjk=,https://api.github.com/repos/jrtom/jung/labels/enhancement,enhancement,84b6eb,TRUE,NA
268946924,232671927,MDU6TGFiZWwyMzI2NzE5Mjc=,https://api.github.com/repos/jrtom/jung/labels/bug,bug,fc2929,TRUE,NA
262890523,232671927,MDU6TGFiZWwyMzI2NzE5Mjc=,https://api.github.com/repos/jrtom/jung/labels/bug,bug,fc2929,TRUE,NA
197432388,232671929,MDU6TGFiZWwyMzI2NzE5Mjk=,https://api.github.com/repos/jrtom/jung/labels/enhancement,enhancement,84b6eb,TRUE,NA
93157225,232671934,MDU6TGFiZWwyMzI2NzE5MzQ=,https://api.github.com/repos/jrtom/jung/labels/Priority-Medium,Priority-Medium,ededed,FALSE,NA
93157225,232671937,MDU6TGFiZWwyMzI2NzE5Mzc=,https://api.github.com/repos/jrtom/jung/labels/Type-Defect,Type-Defect,ededed,FALSE,NA
93157225,232671936,MDU6TGFiZWwyMzI2NzE5MzY=,https://api.github.com/repos/jrtom/jung/labels/auto-migrated,auto-migrated,ededed,FALSE,NA
93157224,232671938,MDU6TGFiZWwyMzI2NzE5Mzg=,https://api.github.com/repos/jrtom/jung/labels/Type-Patch,Type-Patch,ededed,FALSE,NA
93157224,232671936,MDU6TGFiZWwyMzI2NzE5MzY=,https://api.github.com/repos/jrtom/jung/labels/auto-migrated,auto-migrated,ededed,FALSE,NA
93157223,232671934,MDU6TGFiZWwyMzI2NzE5MzQ=,https://api.github.com/repos/jrtom/jung/labels/Priority-Medium,Priority-Medium,ededed,FALSE,NA
93157223,232671937,MDU6TGFiZWwyMzI2NzE5Mzc=,https://api.github.com/repos/jrtom/jung/labels/Type-Defect,Type-Defect,ededed,FALSE,NA
93157223,232671936,MDU6TGFiZWwyMzI2NzE5MzY=,https://api.github.com/repos/jrtom/jung/labels/auto-migrated,auto-migrated,ededed,FALSE,NA
93157222,232671934,MDU6TGFiZWwyMzI2NzE5MzQ=,https://api.github.com/repos/jrtom/jung/labels/Priority-Medium,Priority-Medium,ededed,FALSE,NA
93157222,232671935,MDU6TGFiZWwyMzI2NzE5MzU=,https://api.github.com/repos/jrtom/jung/labels/Type-Review,Type-Review,ededed,FALSE,NA
93157222,232671936,MDU6TGFiZWwyMzI2NzE5MzY=,https://api.github.com/repos/jrtom/jung/labels/auto-migrated,auto-migrated,ededed,FALSE,NA
827627388,1236277478,MDU6TGFiZWwxMjM2Mjc3NDc4,https://api.github.com/repos/JustinBeckwith/linkinator/labels/needs%20more%20info,needs more info,b610c9,FALSE,
827627388,1229547707,MDU6TGFiZWwxMjI5NTQ3NzA3,https://api.github.com/repos/JustinBeckwith/linkinator/labels/question,question,d876e3,TRUE,Further information is requested
812959967,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
810392035,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
810358638,1229547701,MDU6TGFiZWwxMjI5NTQ3NzAx,https://api.github.com/repos/JustinBeckwith/linkinator/labels/enhancement,enhancement,a2eeef,TRUE,New feature or request
810358638,1229547703,MDU6TGFiZWwxMjI5NTQ3NzAz,https://api.github.com/repos/JustinBeckwith/linkinator/labels/help%20wanted,help wanted,008672,TRUE,Extra attention is needed
806783603,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
804029568,2726600659,MDU6TGFiZWwyNzI2NjAwNjU5,https://api.github.com/repos/JustinBeckwith/linkinator/labels/dependencies,dependencies,0366d6,FALSE,Pull requests that update a dependency file
804028596,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
802870238,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
802853356,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
802842959,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
802606529,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
798212826,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
793647506,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
793115360,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792848386,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792760152,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792754424,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792745479,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792744219,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792743406,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792742645,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792427090,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792421202,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
792367788,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
788775183,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
783144788,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
783021689,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
783018424,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
782899729,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
782866421,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
782771955,1229605712,MDU6TGFiZWwxMjI5NjA1NzEy,https://api.github.com/repos/JustinBeckwith/linkinator/labels/released,released,ededed,FALSE,NA
