k,probability,b_val
0,0.0085,-0.7
1,0.0247,-0.7
2,0.0362,-0.7
3,0.0402,-0.7
4,0.0454,-0.7
5,0.0441,-0.7
6,0.0483,-0.7
7,0.0478,-0.7
8,0.051,-0.7
9,0.0507,-0.7
10,0.0471,-0.7
11,0.0526,-0.7
12,0.0562,-0.7
13,0.0578,-0.7
14,0.0555,-0.7
15,0.0538,-0.7
16,0.0568,-0.7
17,0.0569,-0.7
18,0.0582,-0.7
19,0.1082,-0.7
20,0.0,-0.7
